order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,1,1,1,6,6,6,6,17,22,4
2,2,2,2,1,7,47,26,34,17,22
3,29,29,23,37,22,5,47,6,29,19
4,3,16,29,2,1,7,11,2,8,5
5,4,17,35,23,37,14,5,49,34,41
6,30,3,16,29,41,43,7,26,44,17
7,5,41,47,31,38,22,14,12,6,18
8,6,4,24,26,2,1,46,47,1,24
9,31,18,17,35,49,50,43,21,16,29
10,32,42,10,21,23,37,36,11,42,52
11,7,30,11,16,29,19,22,5,2,13
12,8,5,3,51,4,41,8,52,9,8
13,33,19,48,47,39,24,1,23,49,23
14,9,20,41,43,31,32,9,7,15,39
15,34,6,49,24,26,38,50,14,26,34
16,35,31,4,32,36,17,37,3,50,28
17,10,21,36,17,8,2,27,46,12,44
18,11,43,18,10,35,49,35,45,30,7
19,36,32,12,11,18,52,19,33,37,14
20,12,44,42,27,12,23,41,43,47,6
21,37,7,30,13,21,40,18,36,25,32
22,13,22,5,3,45,29,24,40,27,1
23,38,8,50,44,33,25,13,22,21,16
24,39,45,19,48,16,4,32,29,35,3
25,14,33,25,7,42,39,38,8,11,38
26,40,46,20,22,30,20,17,44,4,42
27,15,9,6,41,51,10,34,1,19,2
28,16,34,37,38,47,31,2,16,5,9
29,17,23,31,49,5,26,49,42,41,46
30,41,35,26,4,14,11,12,9,18,49
31,18,47,21,39,43,46,21,15,24,15
32,42,24,51,36,50,36,52,50,52,26
33,19,10,43,8,19,8,23,30,13,45
34,20,11,32,18,24,9,3,37,23,50
35,21,48,27,12,32,27,45,25,39,12
36,43,49,13,45,17,35,33,27,28,30
37,44,36,44,33,52,18,40,35,7,37
38,22,12,7,42,40,13,29,4,14,33
39,45,50,22,30,25,34,44,19,32,47
40,46,25,38,5,20,12,16,41,3,25
41,23,37,39,14,10,21,42,18,38,27
42,47,26,8,50,11,3,15,24,46,21
43,24,51,45,19,46,45,30,13,45,43
44,48,27,33,52,9,33,25,39,33,35
45,49,13,14,40,27,44,4,28,43,48
46,50,38,52,25,13,16,39,32,48,36
47,25,39,40,20,34,42,28,38,36,40
48,26,14,46,46,3,15,48,48,40,11
49,51,52,9,9,44,30,20,20,20,20
50,27,40,34,34,15,28,10,10,10,10
51,52,15,15,15,28,48,51,51,51,51
52,28,28,28,28,48,51,31,31,31,31
