order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,1,1,11,18,52,52,52,52,52,52
2,2,2,45,6,18,1,1,38,38,38
3,3,38,46,11,6,18,18,1,41,41
4,4,3,33,45,11,6,4,33,1,1
5,28,4,47,48,45,25,49,18,33,2
6,5,39,34,49,48,29,12,4,29,3
7,6,40,1,46,39,11,46,37,18,24
8,29,28,2,50,36,45,32,35,15,5
9,7,5,38,33,41,2,6,49,7,21
10,30,17,3,37,40,48,8,12,40,33
11,8,18,4,24,21,38,20,46,4,32
12,9,6,12,47,42,39,25,39,37,29
13,31,29,20,34,49,3,29,3,22,50
14,32,7,35,15,46,9,22,24,35,47
15,10,30,39,1,8,36,11,32,17,18
16,11,41,36,25,22,13,45,47,30,15
17,33,42,40,29,50,41,2,23,49,7
18,34,8,21,22,33,7,50,6,11,31
19,12,9,22,38,37,40,43,8,12,43
20,35,31,23,3,24,30,44,9,27,40
21,36,32,28,7,47,21,48,51,28,16
22,13,43,5,30,23,31,38,36,46,14
23,14,44,13,4,26,14,33,26,39,4
24,37,19,14,12,34,42,37,34,45,23
25,15,10,17,20,15,4,35,20,2,37
26,16,11,18,35,27,49,39,25,3,22
27,38,45,6,51,28,12,3,13,24,6
28,39,46,48,52,5,46,24,41,5,42
29,40,33,49,39,16,32,47,29,21,8
30,17,47,50,36,1,8,23,15,32,35
31,18,34,37,41,25,20,9,7,50,9
32,41,12,24,40,29,22,51,40,47,44
33,42,20,15,21,2,50,36,22,31,17
34,43,35,25,42,38,43,26,17,43,30
35,44,36,29,8,3,44,34,30,16,51
36,19,21,7,22,9,33,13,11,14,36
37,45,22,30,23,13,37,41,27,23,26
38,46,23,51,26,7,35,15,28,6,48
39,47,13,52,27,30,24,7,45,42,49
40,20,14,41,28,31,47,40,2,8,19
41,21,48,42,5,14,23,17,5,9,34
42,22,49,8,16,4,51,30,21,44,11
43,23,50,26,9,12,26,27,50,51,12
44,48,37,27,13,32,34,28,31,36,20
45,49,24,16,31,20,15,5,43,26,25
46,50,15,9,14,43,17,21,16,48,27
47,24,25,31,32,44,27,31,14,19,28
48,25,51,32,43,35,28,16,42,34,10
49,51,52,43,44,51,5,14,44,20,46
50,52,26,44,17,17,16,42,48,25,13
51,26,27,19,19,19,19,19,19,10,39
52,27,16,10,10,10,10,10,10,13,45
