order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,29,29,29,3,3,3,15,15,33,33
2,1,14,22,29,23,44,3,35,43,44
3,30,1,14,22,6,23,46,11,15,30
4,31,40,1,10,29,48,44,3,35,43
5,2,41,35,16,22,6,19,39,16,29
6,3,30,40,14,10,2,23,31,40,28
7,4,31,8,4,7,8,48,7,11,15
8,32,42,9,25,27,29,25,46,2,38
9,33,2,41,1,16,9,36,41,47,35
10,5,15,30,50,14,22,6,44,3,9
11,6,3,46,35,42,10,1,28,8,16
12,7,16,47,26,4,11,2,19,20,5
13,34,4,31,40,24,7,47,26,39,32
14,35,17,23,17,25,41,8,37,13,40
15,8,32,42,32,1,12,29,51,31,19
16,9,33,24,8,50,27,38,23,52,11
17,36,18,48,9,35,33,9,12,7,26
18,37,19,2,11,28,16,34,27,45,18
19,10,5,15,41,26,20,21,48,14,34
20,11,6,36,12,43,13,22,25,46,21
21,12,7,37,33,40,14,10,36,17,2
22,38,43,49,30,17,42,50,6,42,47
23,39,44,3,18,32,30,35,1,41,37
24,13,20,10,46,44,18,11,33,44,51
25,14,34,16,19,48,4,39,43,30,4
26,40,21,4,47,2,24,31,16,29,49
27,41,45,25,38,8,15,7,40,28,3
28,42,22,50,39,9,46,41,2,38,8
29,15,35,26,31,11,19,28,47,9,20
30,16,8,17,51,41,25,26,8,5,24
31,17,9,32,5,12,36,37,20,32,39
32,18,46,11,23,33,1,51,13,19,22
33,19,47,12,6,20,47,12,52,26,23
34,43,23,33,7,13,38,27,45,18,12
35,44,24,18,27,30,34,33,14,34,13
36,20,48,19,42,18,21,43,17,21,31
37,21,36,38,24,15,50,16,42,37,27
38,45,37,39,28,46,35,40,30,51,48
39,22,49,51,43,19,39,20,29,4,25
40,46,10,5,44,36,31,13,38,49,52
41,47,25,6,48,47,28,52,9,24,7
42,23,50,7,2,38,26,45,5,22,10
43,24,26,27,20,34,37,14,32,23,50
44,48,11,28,13,21,51,17,18,12,45
45,49,12,43,15,39,43,42,34,27,14
46,25,38,44,36,31,40,30,21,48,46
47,50,39,20,34,37,52,5,4,25,17
48,26,51,13,21,51,45,32,49,10,42
49,51,27,34,37,52,17,18,24,50,36
50,27,28,21,52,45,5,4,22,36,6
51,28,13,52,45,5,32,49,10,6,1
52,52,52,45,49,49,49,24,50,1,41
