order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,1,1,1,1,52,52,2,2,2,43
2,25,25,46,46,22,22,18,25,20,47
3,26,26,25,25,14,14,41,44,25,39
4,2,9,26,26,1,45,34,30,15,2
5,27,2,47,47,46,42,52,18,32,20
6,28,39,9,9,25,1,22,41,40,52
7,3,27,6,6,26,7,4,34,44,22
8,29,28,2,2,40,46,14,39,36,16
9,30,40,7,10,33,25,3,52,19,7
10,31,41,39,11,47,39,10,22,45,25
11,4,3,27,29,9,27,11,4,30,15
12,32,10,48,20,6,26,29,13,18,32
13,5,11,49,21,2,15,20,8,42,4
14,6,29,28,12,34,32,45,14,32,13
15,7,12,40,30,4,40,42,3,41,40
16,33,30,33,37,10,31,50,27,33,8
17,34,42,34,38,11,33,23,51,17,44
18,35,31,17,42,29,17,1,26,50,48
19,36,43,18,7,20,43,16,10,23,9
20,37,13,41,39,21,47,7,11,34,14
21,38,14,3,27,12,48,24,35,1,36
22,8,4,50,31,44,9,46,37,43,19
23,9,44,51,43,30,49,21,29,47,45
24,39,45,35,48,8,28,12,5,39,24
25,40,15,36,49,37,6,25,20,52,30
26,41,32,19,28,38,2,44,15,22,46
27,10,16,10,13,45,18,30,32,16,38
28,11,5,11,52,42,41,39,40,7,3
29,12,46,29,22,7,34,13,36,4,27
30,42,47,20,14,39,4,8,19,13,18
31,43,6,21,40,27,3,27,45,8,42
32,13,7,12,33,15,10,51,42,48,51
33,14,48,30,34,32,11,26,31,9,49
34,44,49,37,4,31,29,35,33,14,21
35,45,33,38,44,17,20,37,17,24,26
36,15,34,42,8,43,50,5,50,46,31
37,16,17,31,45,48,23,15,23,38,41
38,46,18,43,15,49,16,32,1,3,33
39,47,50,13,32,28,24,40,43,27,10
40,48,51,52,17,18,21,36,47,51,11
41,49,35,22,18,41,12,19,16,49,35
42,17,36,14,41,3,44,31,7,21,28
43,18,19,4,3,50,30,33,48,26,6
44,50,20,44,50,23,13,17,9,10,12
45,51,21,8,23,16,8,43,24,11,17
46,19,37,45,16,24,51,47,46,35,50
47,20,38,15,24,13,35,48,38,28,23
48,21,52,32,51,51,37,9,49,6,37
49,52,22,23,35,35,5,38,21,12,29
50,22,8,16,5,5,36,49,28,37,5
51,23,23,24,36,36,19,28,6,29,34
52,24,24,5,19,19,38,6,12,5,1
