order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,1,1,35,45,45,5,5,5,1,20
2,29,42,47,35,39,4,18,23,5,1
3,2,15,1,11,40,45,4,28,27,47
4,3,29,7,47,35,39,45,18,23,5
5,30,2,42,1,11,40,20,13,2,27
6,31,43,36,17,43,26,39,4,34,39
7,4,3,21,7,13,34,22,38,30,23
8,32,30,22,12,47,35,7,45,28,44
9,33,16,15,42,51,16,10,14,15,2
10,5,44,29,4,1,11,40,20,8,34
11,34,31,48,26,8,36,50,47,18,22
12,6,45,2,36,3,43,26,39,35,30
13,35,17,43,38,17,24,27,44,16,28
14,7,4,8,21,46,13,34,22,13,12
15,36,32,3,32,19,38,15,12,3,15
16,8,18,23,18,7,47,35,7,37,17
17,9,33,30,22,23,44,16,51,11,8
18,10,46,9,50,28,51,37,10,4,18
19,37,19,16,27,14,49,11,40,21,6
20,11,5,24,15,12,1,52,49,41,25
21,12,34,44,29,30,8,36,50,38,7
22,38,20,49,33,41,3,29,26,45,35
23,39,6,10,48,42,21,43,48,52,16
24,40,35,37,2,9,17,33,31,36,51
25,13,47,31,39,5,32,24,1,14,29
26,14,7,25,40,4,46,23,27,20,32
27,41,36,45,43,26,19,28,2,47,13
28,42,21,11,13,34,18,13,34,39,3
29,15,22,17,51,16,20,38,30,44,37
30,43,48,12,8,36,22,14,15,22,42
31,16,8,4,3,24,7,47,8,12,43
32,44,23,26,46,38,10,44,35,17,46
33,45,9,38,19,44,50,12,16,6,9
34,17,24,32,23,49,27,51,3,25,11
35,18,49,18,28,21,15,49,37,7,4
36,46,10,50,14,32,37,48,11,51,21
37,19,37,27,30,18,52,31,21,29,19
38,20,25,33,41,20,29,1,41,32,10
39,47,11,39,9,22,33,2,52,42,40
40,21,12,40,5,10,23,30,36,43,41
41,22,26,13,34,50,28,8,17,46,38
42,48,38,51,16,27,14,3,6,9,49
43,23,50,46,24,15,12,21,25,19,50
44,24,27,19,44,37,48,41,29,10,26
45,49,39,28,49,52,31,17,32,40,33
46,25,40,14,20,29,2,6,42,49,45
47,26,13,41,10,33,30,25,43,50,52
48,50,51,5,37,48,41,32,46,26,36
49,27,28,34,52,31,6,42,9,33,48
50,51,14,20,31,2,25,46,19,48,31
51,28,41,52,6,6,42,9,33,31,14
52,52,52,6,25,25,9,19,24,24,24
