order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,1,14,14,45,45,26,23,16,16,18
2,31,1,8,14,6,45,26,23,9,16
3,32,43,1,8,14,31,52,17,22,43
4,33,31,9,35,37,6,47,26,23,9
5,2,32,43,1,8,14,45,52,17,8
6,34,15,49,18,35,32,31,47,21,22
7,3,44,39,9,33,46,41,30,29,23
8,35,33,31,43,1,37,40,20,51,42
9,4,2,32,41,18,22,6,45,26,17
10,5,16,10,51,2,8,14,31,44,6
11,36,34,15,4,9,5,32,41,52,21
12,6,17,23,49,43,34,19,1,47,5
13,37,3,44,39,7,10,50,40,38,29
14,7,45,24,27,41,35,46,28,30,34
15,38,35,25,31,40,33,37,18,20,14
16,8,18,33,32,51,17,22,42,45,10
17,9,4,2,46,4,1,51,6,31,51
18,39,46,40,5,16,28,44,14,3,7
19,10,5,16,10,42,18,8,49,41,26
20,40,36,26,28,49,15,5,32,1,49
21,11,19,34,15,21,13,34,24,39,32
22,41,20,17,36,39,2,10,19,40,44
23,12,6,11,23,27,9,4,48,28,4
24,42,37,50,19,26,38,35,50,18,24
25,13,7,3,44,31,43,12,15,43,35
26,14,21,45,12,32,7,33,46,8,52
27,43,22,35,20,46,36,16,13,42,47
28,15,38,18,24,22,11,17,37,6,19
29,44,47,41,29,5,23,30,2,5,25
30,16,48,51,25,34,52,20,9,34,38
31,17,8,4,6,10,47,1,22,14,12
32,45,9,27,37,17,41,28,21,10,30
33,18,49,46,33,28,40,18,29,7,20
34,46,39,5,2,15,19,42,51,49,48
35,19,10,28,7,13,50,49,44,32,45
36,20,23,36,40,38,51,24,38,4,50
37,21,24,19,16,36,44,48,3,24,36
38,22,25,12,42,11,4,15,39,35,11
39,47,40,20,21,23,12,13,43,19,31
40,48,26,29,26,52,16,2,8,25,15
41,49,11,6,22,47,30,9,5,12,3
42,23,50,37,34,19,20,21,34,48,46
43,24,41,7,17,50,42,29,10,50,41
44,25,51,42,13,44,49,38,7,36,1
45,26,27,21,38,12,24,3,4,11,39
46,50,28,22,11,30,48,39,35,15,13
47,51,12,13,52,20,21,43,25,46,33
48,27,29,38,47,24,29,7,12,13,37
49,28,42,52,50,48,3,25,36,33,40
50,29,13,47,30,29,39,36,11,37,28
51,52,52,30,48,3,25,11,33,27,27
52,30,30,48,3,25,27,27,27,2,2
