num_on_top
22
26
25
21
21
26
27
27
27
25
24
22
29
24
24
26
27
22
24
23
28
22
25
23
23
26
26
25
22
24
25
21
21
27
24
25
27
29
25
26
25
25
28
25
25
23
26
24
21
26
