order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,1,15,46,46,47,47,47,47,29,2
2,27,1,15,29,46,18,20,27,47,29
3,2,27,33,17,29,46,9,20,48,47
4,28,40,21,15,11,7,44,38,27,48
5,3,2,1,49,12,13,18,9,20,19
6,4,28,27,37,17,29,33,39,51,27
7,29,16,8,33,48,41,42,17,38,5
8,30,41,9,30,15,11,46,44,22,20
9,5,3,22,50,49,12,19,40,9,30
10,6,42,40,21,28,27,30,18,36,51
11,31,4,2,25,37,17,7,33,39,38
12,7,29,47,1,44,14,34,25,17,8
13,32,17,48,43,33,10,50,42,43,22
14,33,30,28,18,19,3,13,14,44,9
15,8,43,34,27,30,48,29,35,40,36
16,9,18,35,10,34,51,22,46,45,10
17,34,5,16,51,50,8,45,19,18,7
18,35,6,41,8,21,15,41,30,33,39
19,36,31,3,9,38,49,5,10,25,17
20,37,44,42,22,39,28,26,7,16,4
21,10,19,23,5,25,37,11,4,42,15
22,11,7,24,26,35,20,23,34,14,43
23,12,20,4,40,1,9,21,6,41,44
24,38,45,36,6,43,44,12,1,35,49
25,39,32,29,31,16,33,32,50,46,40
26,13,46,17,2,18,42,24,3,52,26
27,14,33,49,47,7,19,27,13,2,45
28,15,21,37,11,13,30,38,31,19,18
29,40,8,30,12,41,34,39,29,5,34
30,16,9,50,48,27,50,17,48,30,6
31,41,22,25,28,14,22,40,51,8,33
32,42,47,43,44,10,45,25,22,10,25
33,17,48,18,19,3,5,14,36,7,11
34,43,34,10,34,51,26,35,43,4,16
35,18,35,51,38,8,23,10,45,15,42
36,44,23,5,39,20,21,4,16,49,28
37,19,24,26,35,9,32,6,41,26,1
38,20,36,6,16,42,24,1,52,34,14
39,45,49,31,7,22,38,3,2,6,23
40,46,37,11,13,45,39,31,5,11,41
41,21,50,12,41,5,40,48,8,28,21
42,22,25,44,14,26,25,51,15,1,50
43,47,10,19,3,23,35,36,49,23,3
44,48,51,38,20,32,4,43,26,21,13
45,23,26,39,42,24,6,16,11,50,12
46,24,11,7,45,40,1,52,28,3,35
47,49,12,13,23,4,31,2,23,13,32
48,50,38,14,32,6,36,8,21,12,24
49,25,39,20,24,31,43,15,12,32,46
50,51,13,45,4,36,16,49,32,24,31
51,26,14,32,36,52,52,28,24,31,52
52,52,52,52,52,2,2,37,37,37,37
