order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,1,1,43,48,48,48,48,48,43,31
2,25,37,1,43,45,14,16,12,48,43
3,2,25,44,10,38,45,22,21,12,3
4,3,2,37,1,43,31,14,16,40,48
5,26,15,25,11,10,38,45,7,21,36
6,27,3,32,44,50,32,31,22,16,12
7,4,26,2,17,1,43,3,49,7,40
8,28,38,15,37,51,2,38,4,34,47
9,5,27,3,25,11,10,52,5,22,35
10,29,39,8,29,44,50,37,14,13,29
11,30,4,26,20,27,41,32,45,49,21
12,6,28,45,32,19,1,43,51,2,46
13,31,16,38,2,6,12,40,11,4,16
14,7,5,27,12,17,21,2,31,27,7
15,32,17,19,21,37,51,33,3,5,42
16,8,29,39,18,40,11,10,29,33,38
17,33,18,4,15,39,46,30,46,20,50
18,9,30,46,22,25,18,42,38,14,41
19,10,6,28,3,4,44,50,52,10,34
20,11,40,16,30,29,28,41,18,30,52
21,12,31,33,8,13,27,39,37,45,22
22,34,41,5,49,20,24,1,26,24,13
23,35,42,9,26,23,19,25,9,51,18
24,13,7,47,34,14,6,8,32,19,6
25,14,43,48,35,31,15,12,44,11,37
26,36,44,10,45,32,17,21,28,31,49
27,37,32,11,38,2,16,7,43,3,2
28,15,8,17,50,41,22,49,40,36,26
29,38,45,29,51,12,3,4,34,47,15
30,39,19,20,27,21,52,5,13,35,4
31,16,46,12,19,46,37,51,2,29,27
32,17,33,21,6,18,40,11,27,46,39
33,18,9,18,40,28,33,29,33,42,5
34,40,47,22,39,24,30,46,20,38,33
35,41,48,30,4,15,42,18,10,50,20
36,42,10,49,13,16,39,26,30,41,9
37,43,11,34,23,22,25,9,24,52,17
38,44,20,35,14,3,8,44,19,18,14
39,45,12,50,31,52,7,28,36,6,10
40,19,21,51,41,33,49,34,47,37,1
41,46,22,6,46,30,4,13,35,26,25
42,47,49,40,28,42,5,27,42,15,30
43,48,34,13,24,8,29,20,50,39,32
44,20,35,23,16,7,26,24,41,9,44
45,21,50,14,52,49,9,19,6,17,45
46,22,51,31,33,5,34,36,15,1,24
47,49,13,41,42,26,13,47,39,25,51
48,50,23,24,7,9,20,35,17,32,19
49,51,14,52,5,34,36,6,1,44,8
50,23,24,42,9,36,47,15,25,8,28
51,24,52,7,36,47,35,17,8,28,23
52,52,36,36,47,35,23,23,23,23,11
