order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,1,1,1,25,25,25,9,26,26,28
2,2,38,10,1,1,19,25,9,9,26
3,28,2,38,41,41,36,19,20,4,9
4,29,15,22,10,10,1,50,42,32,43
5,3,28,2,38,38,46,14,25,20,4
6,4,39,15,22,22,41,36,19,42,8
7,5,29,11,42,20,7,1,45,2,32
8,30,16,45,13,42,10,24,30,23,29
9,6,3,28,2,3,44,46,50,25,20
10,31,17,46,49,13,38,41,51,19,38
11,7,18,39,15,2,39,7,14,45,42
12,32,4,23,50,49,22,21,34,30,24
13,33,40,29,6,33,20,10,36,18,3
14,8,5,35,11,15,42,6,37,50,2
15,9,30,16,45,50,51,44,1,21,48
16,34,41,12,31,24,8,43,8,51,23
17,10,42,3,28,6,3,38,24,10,33
18,11,6,24,19,43,13,5,3,14,25
19,35,31,17,46,11,4,35,17,52,17
20,12,19,18,7,45,2,39,46,34,12
21,36,7,47,39,17,23,22,41,49,19
22,13,32,36,51,18,52,11,16,6,45
23,14,20,4,23,31,49,26,13,36,40
24,37,33,40,52,28,29,20,7,44,46
25,38,43,5,29,47,33,42,4,37,5
26,15,44,30,14,19,40,45,32,31,30
27,39,8,48,35,36,15,30,2,1,18
28,16,9,25,26,46,9,51,23,28,35
29,17,21,41,16,7,50,34,18,43,50
30,18,34,42,32,44,14,37,21,8,41
31,40,10,13,12,39,24,8,10,29,21
32,41,22,49,20,51,21,3,52,38,16
33,42,11,50,3,8,6,17,49,24,51
34,19,45,6,33,4,43,16,6,3,10
35,20,46,31,24,23,5,13,44,48,47
36,43,23,19,43,52,35,4,31,33,39
37,44,35,7,17,29,11,32,28,17,14
38,21,12,51,18,40,26,2,43,12,52
39,22,24,52,47,9,45,23,29,40,34
40,45,47,14,36,14,30,18,38,46,13
41,46,36,26,44,21,34,52,48,5,27
42,23,48,32,8,5,31,49,33,35,49
43,24,25,20,4,35,17,31,12,41,6
44,47,13,33,40,26,16,28,40,16,36
45,48,49,43,9,30,32,29,5,47,44
46,25,50,44,21,34,18,48,35,39,15
47,49,51,8,5,37,31,33,47,13,22
48,50,52,9,30,16,28,12,39,27,37
49,51,14,21,34,32,48,40,27,15,31
50,52,26,34,37,48,12,47,15,22,11
51,26,37,37,48,12,47,27,22,11,7
52,27,27,27,27,27,27,15,11,7,1
