order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,24,12,17,28,20,15,46,45,28,28
2,1,24,12,17,28,20,15,46,45,1
3,25,37,42,45,43,37,13,8,46,45
4,2,1,18,12,17,50,20,15,12,34
5,26,25,24,42,45,28,47,48,8,27
6,27,13,5,46,8,31,37,13,18,46
7,28,2,37,18,12,43,50,20,15,12
8,3,38,31,24,42,34,36,10,42,8
9,4,26,1,14,9,17,25,6,48,50
10,29,27,19,5,46,38,44,47,51,18
11,30,28,25,39,13,45,28,16,13,23
12,5,14,6,37,18,8,18,37,20,2
13,31,39,20,31,35,1,35,1,35,36
14,6,3,43,34,32,23,31,50,10,15
15,32,40,13,1,41,22,43,23,14,4
16,7,4,32,22,49,12,34,36,6,42
17,33,41,2,19,24,42,27,49,47,9
18,34,15,7,47,14,29,3,24,31,48
19,8,29,38,25,2,9,17,22,16,3
20,9,16,33,3,5,19,38,25,43,52
21,35,30,26,48,7,33,32,44,37,30
22,36,17,44,6,39,26,41,40,29,51
23,10,42,27,40,15,46,45,28,1,13
24,11,18,21,4,37,13,8,12,34,49
25,12,5,28,20,50,47,48,18,27,19
26,37,31,45,43,31,36,10,42,50,17
27,13,19,46,8,34,25,6,51,23,24
28,38,6,14,9,38,44,16,35,2,20
29,14,20,39,13,1,18,1,14,36,35
30,39,43,34,35,23,35,23,31,4,5
31,40,32,22,32,22,27,49,43,9,10
32,41,7,47,41,29,3,24,29,3,14
33,15,33,3,49,19,32,22,34,52,33
34,16,44,48,2,33,41,40,27,30,7
35,17,21,40,7,26,48,12,2,49,38
36,42,45,4,15,47,10,42,4,19,6
37,18,46,8,50,36,6,51,9,17,47
38,19,34,9,38,25,16,14,3,24,22
39,20,22,35,23,44,49,29,52,5,21
40,43,47,41,29,27,24,2,30,33,31
41,44,48,49,33,3,40,4,19,7,16
42,21,8,15,26,48,51,9,17,38,32
43,45,9,50,36,10,14,52,5,22,26
44,46,35,23,44,6,2,30,33,21,43
45,22,49,29,27,16,4,19,7,32,25
46,47,50,36,10,40,52,5,38,26,44
47,48,23,10,16,51,30,33,21,25,41
48,49,36,16,51,4,5,7,32,44,37
49,50,10,51,52,52,7,21,26,41,11
50,23,51,52,30,30,21,26,41,11,39
51,51,52,30,21,21,11,11,11,39,29
52,52,11,11,11,11,39,39,39,40,40
