order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,25,35,44,44,14,41,52,4,22,22
2,1,25,35,3,44,14,41,52,4,35
3,2,1,25,32,3,44,14,41,52,32
4,26,36,19,35,2,3,44,51,23,4
5,27,37,1,9,32,2,3,50,26,39
6,3,14,6,25,49,36,13,19,41,52
7,28,2,36,16,50,29,28,14,51,23
8,4,15,7,19,35,32,25,27,10,13
9,29,26,37,1,23,48,2,44,50,26
10,5,38,20,17,31,49,22,45,24,18
11,30,27,21,40,9,38,26,3,36,41
12,6,39,14,6,15,50,36,34,19,51
13,7,3,2,47,33,27,16,35,5,7
14,31,16,31,36,25,35,29,13,17,10
15,8,17,15,48,26,7,8,7,14,50
16,32,40,26,7,16,23,32,1,31,1
17,9,28,8,10,8,10,42,28,27,42
18,10,4,38,37,51,5,48,11,9,24
19,11,18,27,28,19,31,30,25,16,40
20,33,41,22,20,1,9,49,46,44,36
21,12,29,45,4,24,37,38,43,45,28
22,13,5,46,11,17,12,20,21,29,11
23,34,42,39,21,40,15,4,2,3,19
24,35,30,3,18,6,33,51,22,34,25
25,36,43,32,14,47,52,50,23,8,37
26,37,44,9,2,41,13,19,26,35,5
27,14,19,16,49,36,28,27,10,32,17
28,15,6,17,50,29,25,45,24,39,12
29,38,7,40,23,48,22,34,36,13,6
30,39,20,47,31,38,26,35,5,18,14
31,16,21,48,15,27,16,7,17,7,31
32,17,31,10,33,7,8,1,31,1,48
33,40,8,28,26,10,42,11,9,42,30
34,18,22,4,8,5,30,46,16,40,49
35,41,45,11,51,37,20,43,29,28,15
36,42,46,18,24,12,4,21,8,11,27
37,43,32,49,41,52,51,23,32,25,9
38,44,9,50,29,13,19,10,39,37,33
39,19,47,23,38,28,45,24,18,12,16
40,20,48,33,27,22,34,5,42,6,46
41,21,10,51,5,42,1,17,40,48,43
42,22,11,24,12,30,11,31,37,30,44
43,45,49,41,52,20,46,9,12,49,45
44,46,50,29,13,4,43,39,6,15,38
45,47,23,5,22,45,21,18,48,33,29
46,48,33,12,42,34,24,40,30,46,47
47,49,51,52,30,11,17,37,49,43,3
48,50,24,13,45,46,39,12,15,38,21
49,23,12,42,34,43,18,6,33,47,34
50,51,52,30,46,21,40,15,38,21,2
51,24,13,34,43,39,6,33,47,2,8
52,52,34,43,39,18,47,47,20,20,20
