order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,1,10,5,5,5,5,5,5,45,16
2,24,1,10,10,6,40,21,24,5,45
3,25,11,1,20,22,33,14,43,35,8
4,2,37,11,1,10,6,47,21,24,5
5,26,38,37,27,45,22,40,14,49,11
6,27,24,48,14,46,23,33,47,43,23
7,3,25,17,42,20,10,6,40,21,35
8,4,2,38,11,1,7,22,1,14,44
9,28,39,24,37,18,45,52,33,3,24
10,29,12,25,33,4,3,23,18,47,29
11,30,40,31,7,27,46,10,28,39,49
12,5,26,2,3,39,48,30,6,40,43
13,31,41,6,48,51,20,7,25,1,20
14,6,13,18,17,12,26,42,22,33,21
15,32,27,39,38,14,9,13,52,18,36
16,33,14,12,21,42,1,45,16,34,14
17,7,42,32,8,35,18,35,11,46,10
18,8,3,19,24,15,16,3,23,28,30
19,34,43,40,43,28,41,46,44,6,3
20,35,44,26,25,11,4,48,36,25,47
21,9,45,41,44,32,27,50,10,48,39
22,36,46,49,31,37,49,8,30,22,41
23,10,4,13,34,19,39,20,41,50,40
24,11,15,50,2,29,17,26,7,52,1
25,37,28,20,6,40,51,9,4,16,17
26,38,29,27,22,33,38,15,32,8,51
27,39,16,14,45,23,12,24,42,11,26
28,12,47,42,46,7,21,43,13,23,33
29,40,30,33,18,3,14,1,27,44,18
30,41,5,7,4,48,47,18,31,29,7
31,13,48,3,39,26,52,28,37,20,4
32,14,17,21,51,9,30,25,19,36,34
33,42,31,8,12,16,42,16,45,10,32
34,43,6,43,35,41,13,11,35,30,38
35,44,18,44,15,49,35,44,49,41,46
36,45,32,34,28,17,50,36,3,17,42
37,46,19,22,32,38,8,41,39,51,2
38,15,49,45,19,21,15,4,34,26,28
39,16,50,46,29,47,24,32,46,7,9
40,47,20,4,40,52,43,27,48,4,13
41,48,33,51,23,30,28,31,50,32,6
42,17,7,35,26,13,25,37,8,38,25
43,18,21,15,9,50,11,19,29,42,27
44,19,8,28,16,8,44,49,20,2,48
45,49,34,29,41,24,36,39,17,9,15
46,50,22,23,49,43,32,34,51,13,31
47,20,51,9,47,25,31,29,26,27,22
48,21,35,16,52,44,37,17,38,15,37
49,22,23,47,30,36,19,51,2,31,50
50,51,9,52,13,31,34,38,9,37,12
51,23,52,30,50,34,29,2,15,12,19
52,52,36,36,36,2,2,12,12,19,52
