order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,1,36,19,19,29,29,29,29,29,29
2,25,13,36,16,19,8,39,39,1,5
3,26,1,20,46,16,19,8,3,39,9
4,2,37,13,36,43,12,23,42,52,19
5,3,38,1,47,41,16,47,8,3,1
6,27,25,37,20,42,1,9,33,38,39
7,4,14,6,33,46,34,19,23,48,12
8,28,39,7,13,14,43,12,44,42,30
9,29,26,38,4,36,17,7,37,8,43
10,5,2,25,28,50,41,20,47,36,52
11,30,3,43,1,51,2,16,27,50,3
12,6,27,14,34,39,42,26,46,31,45
13,7,15,39,37,47,37,1,9,33,13
14,31,16,26,40,20,46,34,19,34,11
15,8,4,44,6,26,14,24,12,24,38
16,32,28,31,10,11,40,5,45,23,48
17,9,40,8,7,35,32,43,13,18,42
18,33,29,2,21,33,36,11,7,44,8
19,34,41,32,22,44,50,17,20,37,7
20,10,42,9,38,13,18,41,14,47,20
21,11,17,3,48,31,6,35,15,27,17
22,35,18,27,25,4,10,21,40,46,41
23,12,5,45,49,28,51,2,32,4,36
24,36,30,15,29,8,39,22,16,5,50
25,13,19,16,43,12,23,3,26,9,31
26,37,20,46,41,1,47,42,1,19,33
27,38,6,47,42,34,9,33,52,12,14
28,14,7,33,14,17,7,44,38,30,34
29,39,43,4,50,2,20,37,48,43,15
30,15,44,28,51,37,26,27,36,45,25
31,16,31,34,39,40,24,46,50,13,6
32,40,8,40,26,32,5,45,31,11,40
33,41,32,10,11,18,11,13,34,7,24
34,42,9,21,35,6,35,14,24,20,23
35,17,45,22,44,10,21,15,18,17,18
36,18,46,48,31,23,22,40,4,41,35
37,19,47,49,8,9,3,32,5,14,21
38,20,33,29,12,7,33,52,30,15,10
39,43,34,41,17,24,44,38,43,25,28
40,44,10,42,2,5,27,48,11,6,2
41,45,21,50,32,21,45,36,17,40,22
42,46,22,51,18,22,13,50,41,35,44
43,47,48,11,23,3,15,31,25,21,37
44,21,49,35,9,27,52,18,6,10,49
45,22,50,12,24,45,38,4,35,28,32
46,48,51,17,5,15,48,30,21,2,16
47,49,11,18,3,52,31,25,10,22,26
48,50,35,23,27,38,4,6,28,49,47
49,51,12,24,45,48,30,10,2,32,27
50,23,23,5,15,30,25,28,22,16,46
51,24,24,52,52,25,28,49,49,26,4
52,52,52,30,30,49,49,51,51,51,51
