num_on_top
27
22
30
25
27
24
23
25
27
21
28
30
24
28
29
29
28
25
30
25
30
26
25
27
29
27
23
25
28
30
24
29
25
26
24
26
25
26
29
26
26
31
25
25
25
25
29
23
27
