order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,1,15,45,36,36,1,41,14,14,8
2,28,16,8,45,13,36,1,41,41,14
3,29,1,33,19,35,13,36,30,15,29
4,2,40,15,8,45,35,42,1,30,41
5,3,28,16,4,19,52,13,36,43,15
6,30,29,46,33,10,45,47,42,1,40
7,4,17,34,15,17,19,35,2,36,30
8,5,2,1,5,24,10,50,13,49,16
9,31,41,9,16,8,39,52,47,42,23
10,6,18,40,37,4,17,48,20,28,43
11,32,3,47,12,2,49,45,35,2,1
12,7,30,28,46,6,9,16,31,13,37
13,8,42,29,34,33,24,37,6,47,36
14,33,19,23,1,44,8,19,50,20,3
15,34,4,35,49,15,4,10,33,35,19
16,9,5,10,9,5,14,39,52,34,49
17,35,20,17,20,41,30,26,48,32,21
18,10,31,24,31,48,2,18,7,31,11
19,11,21,2,40,16,20,17,45,6,42
20,36,43,41,21,37,31,49,29,50,44
21,37,6,48,43,18,6,28,40,9,28
22,12,44,18,47,32,33,32,16,33,2
23,38,32,3,50,12,40,9,37,52,13
24,13,7,11,26,46,21,24,19,48,47
25,39,22,30,28,51,44,8,21,24,22
26,14,45,42,29,34,15,4,44,7,38
27,15,8,25,23,3,43,12,22,45,20
28,16,33,36,38,11,27,25,46,8,46
29,40,46,19,13,1,5,14,10,29,10
30,17,34,4,35,52,41,30,39,40,39
31,41,9,5,10,39,42,2,26,16,35
32,18,47,37,17,49,47,20,18,23,34
33,42,23,12,24,9,50,31,17,37,32
34,19,35,49,2,14,48,6,51,3,31
35,20,10,20,6,30,16,33,15,19,6
36,21,24,31,44,20,37,7,43,21,4
37,43,48,21,41,31,26,29,49,11,27
38,44,11,43,48,40,18,40,28,44,26
39,22,25,50,18,21,28,21,34,22,18
40,45,36,26,32,43,32,44,32,38,50
41,46,37,38,51,27,12,22,9,46,17
42,47,12,13,3,42,25,46,24,10,9
43,23,49,6,11,47,7,51,8,39,33
44,24,50,44,52,50,29,15,23,4,52
45,48,26,32,39,26,22,43,3,27,48
46,25,38,51,14,28,46,34,11,26,24
47,49,13,52,30,25,51,23,38,18,7
48,50,51,39,27,7,34,3,4,17,51
49,26,52,14,42,29,23,11,27,51,12
50,51,39,27,25,22,3,38,12,12,25
51,52,14,7,7,23,11,27,25,25,5
52,27,27,22,22,38,38,5,5,5,45
