order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,26,26,26,5,50,9,29,29,17,17
2,1,13,19,26,5,50,19,15,29,29
3,2,14,13,43,7,35,9,51,15,44
4,27,40,14,17,26,49,11,19,41,25
5,3,1,40,19,15,5,27,52,51,15
6,28,41,9,11,51,3,50,9,1,23
7,29,2,1,13,43,7,44,32,19,38
8,4,15,20,14,34,1,38,11,42,41
9,5,27,41,48,17,26,35,46,52,51
10,6,42,33,37,12,16,13,27,9,1
11,30,3,2,40,19,6,49,50,40,16
12,7,16,21,18,11,15,22,44,32,43
13,31,28,15,9,27,51,5,25,47,35
14,8,29,34,49,13,52,3,38,8,19
15,32,4,27,1,22,25,7,43,11,24
16,9,5,22,6,14,43,41,35,46,42
17,33,43,42,20,48,34,1,24,28,52
18,34,17,35,44,37,20,47,13,27,9
19,35,18,3,38,46,17,8,31,26,40
20,10,6,16,41,31,28,26,49,2,48
21,36,44,28,30,42,23,14,4,14,13
22,11,30,23,33,40,12,36,22,36,12
23,37,45,10,45,18,10,16,33,50,31
24,38,7,29,2,9,29,48,5,39,32
25,12,46,36,21,35,19,37,3,44,47
26,39,31,24,50,49,11,30,34,25,37
27,13,47,4,7,3,27,6,20,23,8
28,14,8,5,15,1,44,15,7,38,11
29,40,32,43,51,16,38,51,45,16,49
30,41,19,17,34,6,13,52,17,43,4
31,15,9,11,12,52,22,32,41,35,22
32,42,20,48,27,25,41,46,1,24,46
33,16,33,37,22,20,47,25,42,48,28
34,43,21,18,46,28,8,43,40,13,27
35,17,34,49,31,23,14,24,47,12,33
36,18,22,6,42,10,36,31,8,31,30
37,44,35,44,35,29,48,4,28,37,5
38,45,23,38,3,44,37,33,26,49,26
39,46,10,30,16,38,30,34,2,4,2
40,47,36,45,52,41,32,20,14,22,3
41,19,24,50,25,47,46,45,36,33,34
42,20,11,7,28,8,24,17,39,30,14
43,21,48,51,23,36,31,42,23,5,21
44,22,37,12,10,30,4,40,16,3,18
45,23,49,46,29,32,33,28,48,34,36
46,24,38,31,47,24,45,2,12,21,20
47,48,50,52,8,4,42,39,37,18,7
48,49,51,25,36,33,40,23,30,20,45
49,50,12,47,32,45,2,12,21,7,50
50,51,52,8,24,2,39,21,18,45,39
51,52,25,32,4,39,21,18,10,10,10
52,25,39,39,39,21,18,10,6,6,6
