order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,1,40,40,40,35,35,25,25,42,21
2,30,1,8,32,40,29,35,38,25,42
3,2,15,1,8,17,40,10,35,49,24
4,31,16,15,1,32,17,29,18,38,25
5,3,30,16,10,45,16,41,10,26,49
6,32,41,23,26,12,32,40,29,32,38
7,4,42,30,4,38,45,21,47,35,1
8,33,17,41,27,8,11,17,31,30,26
9,5,2,48,15,9,12,6,34,33,32
10,34,31,42,44,2,43,16,41,18,44
11,6,43,35,16,1,37,26,40,15,35
12,7,3,17,11,10,38,32,23,45,14
13,8,18,9,37,21,34,33,21,10,30
14,35,19,2,23,26,23,45,24,52,8
15,9,32,31,30,22,8,13,8,29,33
16,36,4,49,20,4,9,11,17,2,17
17,10,44,43,41,31,30,48,50,13,18
18,11,20,3,33,27,2,12,9,47,15
19,37,33,25,48,49,46,14,6,11,43
20,12,5,18,50,15,1,43,16,31,45
21,38,45,36,42,44,20,37,27,48,10
22,13,21,19,5,51,3,22,42,34,50
23,14,22,32,28,29,25,4,49,5,52
24,39,34,10,35,16,10,38,26,7,9
25,40,46,26,17,11,41,18,32,41,29
26,15,6,4,45,43,21,47,30,46,2
27,16,47,27,12,37,6,31,33,40,19
28,41,24,44,38,34,26,34,15,23,28
29,42,7,11,9,23,33,23,45,12,13
30,17,8,37,2,30,13,24,52,36,37
31,43,23,20,21,46,48,8,2,21,20
32,18,48,33,22,20,14,50,13,24,47
33,19,35,50,31,3,22,9,11,1,39
34,44,9,5,49,25,4,27,48,44,11
35,20,49,28,51,41,18,42,5,14,6
36,45,25,45,29,6,47,49,7,8,22
37,21,36,12,43,33,31,30,46,17,16
38,22,10,38,34,13,24,15,12,43,31
39,46,26,21,46,48,50,52,36,50,48
40,47,27,22,3,14,27,2,1,9,3
41,24,11,51,25,18,42,5,44,19,34
42,23,37,29,6,47,49,7,14,28,5
43,48,50,34,13,24,15,46,43,37,7
44,49,28,46,14,50,52,36,19,20,41
45,25,12,6,18,42,5,1,28,39,4
46,26,38,13,47,52,7,44,37,6,46
47,27,51,14,24,5,36,19,20,22,40
48,50,29,47,52,7,44,28,39,16,23
49,28,13,24,7,36,19,20,22,3,27
50,51,14,52,36,19,28,39,3,4,12
51,29,52,7,19,28,39,3,4,27,51
52,52,39,39,39,39,51,51,51,51,36
