order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,27,27,27,27,27,27,27,48,48,48
2,1,42,47,47,7,31,51,27,27,25
3,28,43,17,49,24,1,25,17,36,8
4,29,10,18,50,47,32,12,18,34,4
5,30,44,19,51,49,21,29,19,21,27
6,31,1,34,25,48,7,31,15,30,45
7,32,28,20,39,16,24,39,5,7,46
8,2,11,21,17,45,35,40,22,41,14
9,3,12,35,18,46,4,1,51,24,36
10,33,29,4,19,2,14,32,16,26,34
11,34,30,5,34,36,47,21,25,3,10
12,35,13,22,20,50,49,30,45,33,23
13,4,31,23,31,51,48,7,46,28,21
14,5,32,42,32,25,15,41,23,13,30
15,6,14,43,21,39,5,24,42,17,42
16,7,15,10,35,40,22,13,12,18,7
17,36,16,44,4,41,16,35,29,19,12
18,37,45,6,14,8,45,43,31,15,44
19,38,46,7,15,9,46,8,39,5,50
20,39,2,24,5,17,23,4,40,22,41
21,40,3,48,22,18,42,14,1,51,24
22,41,33,36,23,19,2,10,32,35,26
23,8,47,1,42,34,36,44,2,43,3
24,9,17,28,43,26,28,9,36,16,33
25,42,18,11,10,3,50,47,34,25,11
26,43,19,12,44,33,11,49,21,8,29
27,10,34,29,6,20,51,37,30,4,31
28,44,20,30,7,31,25,38,7,45,28
29,11,21,13,24,1,12,48,41,46,13
30,12,35,37,48,32,29,17,24,14,17
31,13,4,38,16,21,39,18,26,10,18
32,14,5,49,45,35,40,19,3,23,19
33,15,22,50,46,4,30,15,33,42,39
34,16,23,51,2,14,41,5,28,12,20
35,45,6,25,36,15,13,22,13,44,9
36,46,7,39,40,5,43,16,35,50,15
37,47,24,31,41,22,8,45,43,11,5
38,17,48,32,8,23,10,46,8,29,22
39,18,36,14,9,42,44,23,4,31,47
40,19,37,15,26,28,9,42,14,39,49
41,20,38,16,3,11,37,2,10,20,40
42,21,49,45,33,12,38,36,44,9,51
43,22,50,46,1,29,17,34,50,47,35
44,23,51,2,28,30,18,26,11,49,1
45,24,25,40,11,13,19,3,20,40,32
46,48,39,41,12,43,34,33,9,1,37
47,49,40,8,29,10,26,28,47,32,43
48,50,41,9,30,44,3,50,49,37,6
49,51,8,26,13,37,33,11,37,6,38
50,25,9,3,37,38,20,20,6,38,2
51,26,26,33,38,6,6,6,38,2,52
52,52,52,52,52,52,52,52,52,52,16
