order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,26,13,33,37,41,43,19,32,39,12
2,27,44,13,38,37,40,43,19,5,46
3,1,14,44,17,38,41,40,24,8,31
4,28,26,5,33,17,37,31,43,1,35
5,29,15,34,13,33,38,3,40,32,39
6,2,27,23,29,13,2,9,47,50,5
7,30,45,14,9,48,30,41,16,48,20
8,31,46,26,44,6,17,44,46,19,36
9,3,1,15,5,35,33,37,31,24,8
10,32,28,27,34,42,23,5,22,34,22
11,4,47,24,39,29,14,8,3,38,1
12,33,16,25,40,9,47,34,9,43,26
13,5,17,48,2,44,16,38,13,51,32
14,34,29,6,30,5,13,2,41,40,50
15,6,2,35,23,34,49,30,25,6,48
16,35,30,7,14,20,4,20,10,28,15
17,7,18,45,26,21,48,36,49,47,3
18,8,19,46,18,7,6,15,44,16,9
19,36,31,1,19,45,35,17,37,2,17
20,37,3,28,31,46,26,27,4,30,19
21,38,32,47,3,22,18,21,39,11,18
22,9,20,16,15,39,42,7,5,12,24
23,39,21,8,27,1,29,33,8,46,34
24,40,22,36,32,28,19,23,1,31,13
25,10,4,37,24,43,31,45,50,35,42
26,11,33,38,25,40,3,14,48,20,38
27,41,5,17,10,2,9,32,34,36,27
28,42,34,29,11,30,44,24,38,22,41
29,43,23,9,41,23,5,47,51,26,21
30,12,24,39,48,14,8,16,6,15,43
31,13,25,40,6,47,34,46,28,3,7
32,44,48,2,35,16,20,22,2,9,51
33,14,6,30,42,49,36,13,30,17,40
34,15,35,18,20,4,15,25,11,18,25
35,45,7,19,21,26,27,10,12,13,10
36,46,8,31,7,18,21,49,35,42,49
37,47,36,3,45,19,7,4,20,27,6
38,16,37,32,46,31,45,39,36,41,44
39,17,38,10,22,3,32,1,26,21,37
40,18,9,11,1,8,24,50,15,7,28
41,19,39,41,28,36,46,48,17,25,4
42,20,40,42,43,15,22,51,18,10,33
43,21,10,20,47,27,25,6,42,49,47
44,22,11,21,16,32,10,28,27,44,16
45,23,41,22,49,24,39,11,21,37,29
46,24,42,43,4,25,1,12,7,4,23
47,25,43,49,8,10,50,35,33,33,2
48,48,49,4,36,50,51,26,29,29,30
49,49,50,50,50,51,28,18,23,23,52
50,50,51,51,51,11,11,42,52,52,45
51,51,12,12,12,12,12,29,45,45,14
52,52,52,52,52,52,52,52,14,14,11
