num_on_top
28
24
22
27
27
24
26
25
25
25
24
25
28
27
26
24
28
25
28
24
29
25
27
28
29
27
24
28
26
27
28
26
28
27
28
25
24
28
27
27
26
29
27
26
26
27
28
25
26
