num_on_top
20
23
21
23
26
20
27
26
22
24
28
30
26
25
28
24
27
26
23
30
27
26
25
30
26
25
26
23
30
25
26
28
26
24
25
22
21
23
25
26
24
33
28
23
30
27
23
27
27
