order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,25,13,5,5,5,48,19,2,2,2
2,1,40,13,21,37,5,33,19,19,36
3,26,25,30,45,21,51,48,4,26,19
4,27,41,40,13,7,37,39,33,21,26
5,2,14,25,16,11,46,5,38,34,40
6,3,1,6,30,45,21,36,48,4,27
7,28,26,31,33,38,15,40,39,35,21
8,4,27,41,40,32,47,51,3,9,34
9,29,42,18,25,13,7,42,23,33,1
10,5,43,14,34,16,29,37,5,38,22
11,30,2,19,8,27,11,25,32,48,4
12,6,15,1,4,30,45,46,36,15,8
13,31,44,26,6,24,41,50,40,39,35
14,7,3,7,31,33,44,21,1,43,14
15,32,28,32,46,39,38,34,18,3,9
16,33,45,27,47,40,3,15,13,52,33
17,34,16,42,29,42,32,43,51,47,11
18,8,4,50,41,25,18,52,42,12,38
19,35,46,43,18,50,13,47,37,23,49
20,9,47,2,35,34,35,28,6,28,48
21,36,29,51,9,43,9,7,31,5,30
22,10,17,15,14,8,16,29,25,20,18
23,37,48,44,19,2,27,22,46,32,15
24,11,49,3,36,4,14,8,50,16,13
25,38,5,28,22,6,49,11,26,7,39
26,39,30,20,23,31,30,45,21,29,43
27,12,6,21,1,17,24,41,34,36,45
28,13,31,45,26,48,19,44,35,40,3
29,40,18,16,10,51,33,2,9,27,41
30,41,19,33,37,46,39,4,15,1,51
31,14,7,34,7,15,36,38,43,22,42
32,42,32,8,11,47,40,3,52,8,52
33,43,50,4,38,29,42,23,47,14,47
34,15,51,46,32,41,25,32,12,11,12
35,44,20,47,27,44,50,1,28,49,37
36,45,21,29,24,3,34,18,20,30,23
37,16,33,35,39,18,43,13,16,18,6
38,46,34,9,42,35,52,6,7,13,44
39,47,8,36,50,9,28,31,29,45,28
40,17,35,22,43,14,22,26,27,41,5
41,48,9,23,2,49,8,35,22,51,10
42,49,36,10,17,19,2,9,8,42,31
43,18,22,37,48,36,4,12,14,37,20
44,19,23,11,51,52,23,20,11,6,17
45,50,10,38,15,28,1,16,49,44,32
46,51,37,24,44,22,6,27,30,10,16
47,20,11,39,3,23,31,14,45,31,24
48,21,38,17,49,1,26,49,41,17,25
49,22,24,48,52,26,12,30,44,24,46
50,23,39,49,28,12,20,10,10,25,7
51,24,52,52,12,20,10,17,17,46,29
52,52,12,12,20,10,17,24,24,50,50
