order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,23,23,41,26,32,27,38,38,2,11
2,1,11,23,41,5,32,44,13,38,2
3,2,1,11,8,26,5,27,12,13,38
4,24,35,42,23,41,29,9,44,16,24
5,25,2,1,11,8,26,32,48,12,43
6,3,24,17,42,43,33,30,27,44,13
7,26,12,29,47,23,41,28,7,14,5
8,4,25,35,1,12,35,1,52,48,42
9,5,13,2,36,11,8,5,9,33,16
10,27,3,18,17,42,43,15,22,27,12
11,28,14,24,31,21,45,29,32,7,45
12,29,26,6,29,47,23,20,30,40,15
13,6,36,43,35,38,4,26,34,52,44
14,7,4,12,4,44,13,36,28,9,29
15,30,37,44,48,1,12,16,1,41,14
16,8,5,25,2,15,48,14,11,22,48
17,31,38,7,18,36,22,33,5,32,10
18,9,15,45,9,50,34,41,42,35,21
19,32,27,13,20,17,11,35,15,30,33
20,10,39,3,24,25,42,50,29,3,27
21,33,28,19,6,7,2,17,46,34,47
22,34,16,30,37,31,3,8,20,31,7
23,11,40,14,49,10,19,24,37,50,40
24,35,41,46,32,51,21,43,26,28,39
25,12,42,26,5,27,47,45,36,17,52
26,13,17,8,43,29,39,6,2,19,46
27,14,29,47,12,33,18,23,16,8,9
28,36,18,36,21,35,38,25,14,1,20
29,37,6,31,38,45,44,4,33,11,41
30,38,43,4,44,4,9,13,40,24,22
31,15,44,48,15,13,30,12,41,43,32
32,39,7,9,50,48,28,48,35,5,35
33,16,45,20,25,22,1,7,3,42,49
34,40,19,37,7,34,15,52,31,45,30
35,41,30,49,10,2,20,22,50,15,3
36,42,46,32,51,3,36,34,17,29,6
37,17,8,5,27,19,16,11,19,10,23
38,18,47,21,33,39,14,42,8,21,34
39,43,31,38,45,18,50,46,24,47,31
40,44,48,15,13,9,17,37,43,39,50
41,45,9,50,22,30,24,2,45,46,28
42,19,20,10,34,28,6,40,10,20,37
43,46,49,51,3,20,25,3,21,49,51
44,47,32,27,19,16,7,31,47,6,26
45,48,21,33,39,14,52,19,39,23,17
46,20,50,22,30,24,46,10,49,37,19
47,49,10,34,28,6,37,21,6,51,25
48,21,51,39,16,52,40,47,23,26,4
49,50,33,28,14,46,31,39,51,25,8
50,51,22,16,52,37,10,49,25,4,36
51,22,34,52,46,40,49,51,4,36,18
52,52,52,40,40,49,51,18,18,18,1
