order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,26,26,31,49,49,8,8,8,3,3
2,1,38,26,31,40,49,18,31,8,42
3,27,1,5,26,31,4,49,18,1,8
4,28,13,44,50,26,33,48,13,31,21
5,2,39,32,5,24,42,21,49,18,2
6,3,40,38,44,50,52,44,28,30,1
7,29,27,20,32,2,45,19,48,13,7
8,30,14,1,38,5,31,22,43,49,35
9,4,15,33,28,21,13,40,27,6,46
10,31,16,45,20,44,27,3,41,28,9
11,5,28,13,1,22,26,30,21,50,20
12,32,17,6,23,3,25,14,20,14,47
13,33,18,39,33,32,24,15,26,15,31
14,6,2,46,45,51,6,33,44,48,26
15,7,3,47,13,38,50,42,25,43,18
16,34,41,7,6,37,29,35,19,29,44
17,8,42,40,10,28,10,46,12,33,52
18,9,29,21,39,41,2,47,36,10,30
19,35,19,22,17,20,9,52,16,27,45
20,10,30,34,18,34,5,45,22,41,13
21,11,43,8,46,1,39,32,40,4,25
22,36,4,27,47,23,17,51,24,42,19
23,37,31,9,11,8,18,38,34,21,12
24,12,5,48,36,33,48,37,3,2,49
25,38,44,14,7,42,21,11,1,7,6
26,13,32,15,40,52,44,31,30,35,28
27,39,20,35,24,45,19,13,6,46,36
28,40,33,16,2,13,22,28,50,9,32
29,14,45,49,21,27,3,43,14,20,5
30,15,6,50,22,25,30,27,15,47,50
31,16,46,28,3,6,14,41,29,26,16
32,17,47,23,51,29,15,20,33,44,22
33,18,7,10,37,10,35,26,10,52,14
34,41,21,17,41,9,46,25,4,45,15
35,42,22,18,34,39,47,12,42,25,51
36,19,34,11,8,17,32,36,2,19,39
37,43,8,36,42,18,51,16,7,12,48
38,44,9,24,52,48,38,24,35,36,38
39,20,48,2,27,19,37,34,46,32,43
40,45,35,3,25,30,11,1,9,5,40
41,46,49,51,29,14,28,6,47,16,29
42,47,50,37,9,15,43,50,52,22,24
43,21,23,41,48,35,41,29,45,51,23
44,22,10,42,19,46,20,10,32,39,37
45,48,11,52,30,47,12,4,5,38,33
46,49,36,25,14,11,36,2,51,40,10
47,50,24,29,15,43,16,7,39,24,17
48,23,51,19,35,12,34,9,38,23,27
49,24,37,30,43,36,1,5,23,37,34
50,51,52,43,12,16,4,39,37,17,41
51,52,25,12,16,4,7,12,17,34,4
52,25,12,4,4,7,23,17,11,11,11
