order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,23,12,5,42,15,15,51,6,28,50
2,1,23,12,5,42,1,15,51,6,28
3,24,1,23,48,13,42,1,4,40,6
4,2,38,45,12,5,13,16,15,5,40
5,25,24,1,49,18,34,42,25,51,32
6,26,2,6,28,48,5,41,52,30,19
7,3,13,7,23,4,36,13,1,4,5
8,27,39,38,50,12,18,34,16,39,31
9,28,25,6,45,29,8,9,17,15,51
10,4,40,24,1,39,48,28,42,45,30
11,29,26,47,34,19,6,5,50,25,41
12,30,4,2,6,49,4,21,31,21,22
13,5,3,31,7,51,7,36,41,36,4
14,6,27,32,14,28,12,47,27,44,49
15,7,42,13,38,22,26,18,13,52,27
16,31,28,18,46,23,37,22,10,14,39
17,32,14,39,24,25,29,8,7,1,11
18,33,15,19,21,50,30,2,34,16,8
19,8,4,25,47,43,39,3,12,47,15
20,9,29,40,2,40,14,20,9,17,45
21,34,43,33,35,45,38,35,26,38,46
22,35,44,8,31,44,19,48,37,18,33
23,10,30,26,10,33,49,23,29,42,25
24,36,16,41,32,1,46,6,43,50,21
25,37,17,9,15,34,24,4,28,32,13
26,11,5,3,13,36,51,25,40,19,10
27,12,45,20,18,8,16,52,5,31,2
28,38,6,27,4,6,41,17,30,41,36
29,13,7,42,29,7,9,50,39,22,3
30,39,46,48,39,26,28,31,45,49,44
31,40,47,49,19,37,21,27,21,27,20
32,41,31,28,51,30,47,10,36,11,7
33,42,32,50,22,14,22,7,44,8,35
34,14,18,34,25,38,2,12,14,46,48
35,15,19,14,43,46,3,26,47,33,34
36,43,33,21,40,24,20,37,38,13,52
37,44,8,35,44,16,35,29,18,10,14
38,16,9,10,33,41,23,43,32,2,12
39,17,20,15,36,9,25,40,19,3,9
40,45,48,4,8,21,52,30,22,20,1
41,46,49,29,26,47,17,39,49,7,26
42,47,50,51,37,2,50,45,11,35,37
43,18,34,22,30,3,31,44,8,48,23
44,19,21,43,16,20,27,14,46,34,16
45,20,35,44,41,35,10,38,33,12,47
46,48,10,36,9,52,43,32,2,9,29
47,49,51,37,3,17,40,19,3,26,17
48,50,22,30,20,31,45,49,20,37,38
49,21,36,16,52,27,44,11,35,23,24
50,51,37,52,17,10,32,46,48,29,18
51,22,52,17,27,32,11,33,23,24,43
52,52,11,11,11,11,33,24,24,43,42
