order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,1,38,38,48,48,48,5,5,10,2
2,26,1,20,38,14,14,48,6,5,10
3,27,26,1,33,45,47,8,3,49,5
4,2,27,26,20,10,28,14,48,6,49
5,28,13,31,34,38,27,18,43,50,22
6,3,14,27,1,33,45,47,8,3,6
7,4,39,44,4,46,10,22,46,48,38
8,29,2,7,26,20,25,28,14,43,28
9,30,28,13,49,39,38,27,4,17,50
10,5,40,21,50,30,37,7,18,8,3
11,6,15,14,16,34,9,45,26,25,36
12,31,3,45,31,36,33,10,47,46,11
13,7,4,46,27,1,43,17,20,14,35
14,32,16,39,9,18,46,25,39,32,48
15,8,17,22,35,22,20,13,22,34,37
16,33,41,2,44,2,39,2,28,4,43
17,34,29,47,24,4,40,38,11,18,52
18,9,30,28,7,26,30,37,12,13,12
19,35,18,40,17,11,32,41,40,26,17
20,10,19,32,13,12,34,15,30,19,40
21,36,42,8,41,49,36,9,27,47,23
22,11,43,15,21,50,35,33,7,20,8
23,12,5,3,29,19,44,6,21,39,25
24,37,6,23,51,16,1,3,29,2,41
25,38,20,48,14,31,24,43,45,22,30
26,13,31,33,45,42,5,46,10,38,27
27,14,44,34,10,47,8,4,49,28,46
28,39,7,4,46,28,18,26,50,36,16
29,40,21,49,39,27,22,20,17,11,15
30,15,45,50,30,25,7,39,25,35,31
31,16,46,16,36,37,17,11,32,37,14
32,17,22,9,18,9,13,12,34,52,32
33,41,47,35,22,43,2,40,13,12,42
34,18,32,24,2,40,41,30,19,40,7
35,19,8,17,11,32,15,21,2,23,34
36,42,23,41,12,35,6,29,38,41,4
37,43,48,29,19,44,3,49,36,30,21
38,20,33,51,42,24,4,50,35,27,9
39,44,34,10,47,5,26,32,37,16,18
40,21,49,30,28,8,11,34,52,15,13
41,45,50,36,25,7,12,19,23,31,33
42,46,9,18,37,17,21,36,41,42,44
43,22,35,11,43,13,29,35,16,7,26
44,47,24,12,40,41,49,52,15,21,1
45,23,51,19,32,15,50,23,31,9,19
46,48,10,42,5,6,19,16,42,33,29
47,49,36,25,8,3,52,31,9,44,47
48,50,11,37,15,21,23,42,33,1,20
49,24,12,43,6,29,16,44,44,29,51
50,51,25,5,3,52,31,1,1,51,45
51,25,37,6,52,23,42,51,51,45,39
52,52,52,52,23,51,51,24,24,24,24
