order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,26,37,47,21,6,24,29,18,18,18
2,1,26,5,47,21,6,24,29,35,35
3,2,12,37,42,47,21,48,25,29,1
4,27,1,26,34,38,47,6,24,7,41
5,28,13,12,5,9,43,20,2,25,29
6,29,38,19,37,30,38,21,48,38,30
7,3,2,1,8,42,12,47,14,12,7
8,30,39,13,28,2,9,5,19,24,6
9,4,40,6,26,51,30,37,28,2,51
10,31,14,38,43,34,22,43,1,48,25
11,5,15,2,12,7,42,50,6,52,22
12,6,41,7,22,10,25,35,51,31,20
13,7,27,39,19,39,2,38,20,14,38
14,32,16,20,49,20,14,12,34,3,26
15,33,42,40,44,5,19,23,21,19,12
16,34,28,32,29,37,51,11,27,23,34
17,8,43,14,50,23,34,9,47,11,24
18,35,44,15,35,11,49,41,17,28,4
19,9,29,48,1,8,15,30,5,9,10
20,10,17,41,17,18,7,22,49,46,2
21,11,3,33,3,28,46,36,37,45,21
22,36,30,27,13,40,4,33,43,1,27
23,37,18,16,6,45,10,42,40,41,47
24,12,45,21,38,26,44,8,15,30,17
25,13,46,42,9,32,39,18,50,6,48
26,38,4,34,30,24,29,25,35,51,52
27,39,31,8,2,43,48,2,7,22,36
28,40,47,28,51,12,20,14,38,20,31
29,14,5,43,7,22,5,19,12,26,14
30,15,19,22,10,25,37,28,52,34,3
31,41,6,49,39,14,50,1,31,4,16
32,16,7,44,20,19,35,51,3,10,5
33,42,20,29,23,49,23,34,23,21,13
34,43,32,50,11,15,11,27,11,27,33
35,44,48,35,18,46,41,17,9,47,19
36,17,33,17,40,4,36,49,46,17,49
37,18,21,3,45,44,33,40,45,36,23
38,45,34,9,32,29,8,15,41,16,37
39,46,8,30,24,48,18,7,30,5,11
40,47,22,51,25,50,28,52,22,13,43
41,19,49,10,14,35,1,31,26,33,44
42,20,50,23,15,41,27,3,4,49,42
43,48,35,11,46,36,17,46,10,37,28
44,21,9,18,4,33,40,45,36,43,40
45,22,51,45,48,1,52,26,16,44,32
46,49,10,24,41,27,31,4,13,42,8
47,50,23,25,36,17,3,10,33,40,9
48,51,11,46,33,52,45,16,44,32,15
49,23,24,4,27,31,26,13,42,8,39
50,24,25,36,52,3,16,4,32,15,46
51,25,36,52,31,16,13,32,8,39,45
52,52,52,31,16,13,32,39,39,50,50
