order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,31,40,40,33,33,33,2,2,6,6
2,1,31,46,40,40,10,33,5,2,14
3,2,14,36,46,15,38,30,33,5,43
4,32,41,47,36,6,40,10,13,16,2
5,3,42,22,4,52,9,49,30,32,40
6,33,1,31,47,46,15,38,10,33,5
7,4,15,14,11,25,12,40,23,50,16
8,5,2,9,31,36,6,44,49,17,32
9,34,16,41,22,4,32,51,1,13,8
10,6,43,23,14,26,3,9,38,30,33
11,35,32,42,18,47,52,15,25,10,39
12,7,3,37,9,20,41,31,40,23,50
13,8,44,1,12,11,46,12,8,35,44
14,36,17,24,41,2,23,6,44,49,17
15,9,33,15,23,30,25,16,27,26,13
16,37,4,25,19,31,36,32,51,19,30
17,10,18,26,42,16,4,50,9,1,42
18,38,19,2,51,39,26,3,48,28,10
19,11,5,16,37,22,19,39,24,34,27
20,12,34,48,5,48,21,52,15,21,47
21,39,45,43,1,35,42,41,31,3,23
22,13,6,10,24,14,47,37,12,38,35
23,40,20,38,34,43,20,22,36,25,51
24,14,35,32,45,18,7,46,4,14,49
25,41,21,3,15,10,11,5,6,43,9
26,42,7,49,6,38,2,13,16,40,26
27,15,8,44,52,9,30,23,32,8,52
28,16,46,50,25,12,49,1,50,39,41
29,43,36,27,26,32,44,25,17,44,20
30,44,47,17,20,3,51,8,35,42,48
31,17,22,28,2,41,31,27,26,27,18
32,18,9,29,30,23,16,48,19,47,24
33,19,23,33,16,19,50,24,28,51,37
34,45,37,4,39,21,39,36,34,9,15
35,20,24,11,48,42,37,4,21,52,7
36,21,25,18,35,7,22,17,3,41,19
37,46,26,12,43,49,5,35,14,20,1
38,47,48,19,10,44,13,26,43,48,29
39,22,10,51,38,51,1,19,39,18,11
40,23,38,5,32,50,8,28,42,24,31
41,24,49,34,3,37,27,34,47,37,22
42,25,50,45,21,5,48,21,52,15,28
43,26,27,6,7,13,24,14,41,7,12
44,48,28,52,49,1,17,43,20,29,46
45,49,29,20,44,8,35,42,18,11,34
46,50,11,30,50,27,28,47,37,31,21
47,27,12,39,13,24,34,20,7,22,45
48,28,51,35,8,17,14,18,29,12,3
49,29,52,21,27,28,43,7,11,46,36
50,51,30,7,17,34,18,29,22,45,38
51,52,39,13,28,29,29,11,46,36,25
52,30,13,8,29,45,45,45,45,4,4
