order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,31,15,35,4,29,29,34,21,40,27
2,1,31,15,35,4,19,29,34,21,40
3,32,1,7,26,33,23,19,16,2,25
4,2,32,31,45,35,4,5,29,34,21
5,33,16,1,15,9,33,23,28,35,2
6,3,2,32,51,21,1,4,19,16,10
7,4,42,47,7,39,43,15,39,20,4
8,34,33,16,27,48,35,33,5,29,34
9,5,17,2,31,17,9,3,7,9,8
10,6,43,8,19,26,12,1,23,28,30
11,35,3,42,1,45,30,43,32,37,35
12,7,18,33,12,5,14,40,25,19,11
13,8,44,9,32,15,21,35,4,17,16
14,9,4,48,13,40,39,9,11,39,41
15,36,45,17,34,51,32,37,15,46,20
16,10,19,36,47,36,13,49,33,5,15
17,37,34,23,16,7,48,51,13,47,29
18,11,20,43,28,50,17,12,3,7,33
19,38,21,10,2,27,22,36,50,44,9
20,12,5,24,20,31,10,30,49,22,13
21,13,6,3,8,6,24,41,1,23,24
22,39,22,37,42,19,26,18,48,51,28
23,40,46,18,29,23,45,14,43,12,37
24,14,35,25,33,1,34,21,40,32,52
25,41,7,11,9,43,5,16,2,36,42
26,15,47,49,21,12,15,28,35,27,19
27,16,8,44,39,30,3,39,20,25,17
28,42,9,38,48,14,40,7,9,10,39
29,17,48,4,17,32,37,32,37,4,26
30,43,36,26,5,13,47,25,17,8,3
31,18,23,45,40,22,51,11,46,30,46
32,44,10,51,36,10,36,13,47,11,5
33,45,24,27,50,24,41,50,44,41,47
34,19,37,19,6,34,18,49,22,15,7
35,20,25,12,23,3,16,48,51,33,50
36,21,11,13,43,37,28,2,12,13,18
37,22,49,34,30,47,7,20,36,24,44
38,46,38,28,14,41,25,17,27,52,22
39,47,26,20,22,18,11,46,10,42,31
40,48,51,29,10,16,50,44,8,26,14
41,23,27,21,24,28,49,22,30,3,49
42,24,12,39,3,25,2,27,41,50,1
43,25,13,5,37,11,20,10,24,18,23
44,49,28,40,41,49,46,8,52,31,51
45,26,29,50,18,2,44,24,42,14,38
46,51,39,6,25,20,27,52,26,49,48
47,27,40,30,11,46,8,42,18,1,12
48,28,50,14,49,44,52,26,31,38,6
49,29,30,22,46,8,42,31,14,48,45
50,50,14,41,44,52,31,38,38,6,32
51,30,41,46,52,42,38,6,6,45,43
52,52,52,52,38,38,6,45,45,43,36
