order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,23,23,30,49,49,3,44,38,41,41
2,1,12,23,30,7,49,3,44,38,47
3,24,13,44,27,30,39,49,3,44,38
4,25,1,12,23,5,7,10,46,3,48
5,2,24,45,40,27,30,26,25,2,29
6,3,37,13,34,32,20,39,49,46,14
7,26,25,1,44,38,5,47,23,5,44
8,27,38,31,12,23,27,7,10,25,3
9,4,2,24,45,40,1,12,4,22,7
10,28,14,37,4,2,32,30,18,49,2
11,5,3,46,17,34,28,37,26,23,28
12,29,39,25,13,8,42,20,9,17,52
13,6,26,7,20,44,38,5,15,10,46
14,30,15,32,1,47,23,22,39,36,16
15,31,16,38,28,12,9,43,47,4,5
16,7,27,2,31,11,40,27,14,43,8
17,32,40,8,24,45,31,1,7,18,25
18,8,4,47,10,35,2,32,16,27,33
19,33,17,14,37,4,51,11,33,26,22
20,9,28,33,50,14,34,28,40,9,40
21,34,41,3,46,33,52,45,12,1,49
22,10,5,39,25,17,8,50,30,51,45
23,11,29,9,41,29,24,35,31,34,23
24,35,42,19,21,13,19,42,37,15,17
25,36,43,26,7,3,44,38,20,39,50
26,12,18,15,5,39,10,46,41,32,12
27,13,6,16,32,20,26,25,2,11,10
28,37,30,48,38,1,47,23,5,47,36
29,38,44,49,2,28,12,4,22,48,6
30,14,45,27,8,42,37,18,17,29,21
31,39,31,40,47,9,22,9,36,14,4
32,15,46,34,11,31,43,15,43,7,43
33,16,7,4,35,51,11,14,27,28,24
34,40,32,17,14,52,45,16,1,52,18
35,17,8,20,33,24,50,33,51,16,30
36,41,47,28,29,19,35,40,34,8,27
37,42,33,10,3,10,46,31,32,33,19
38,43,9,50,39,26,25,41,11,40,26
39,18,19,41,42,37,4,2,48,45,9
40,44,48,21,9,22,18,17,29,50,31
41,45,49,5,51,43,15,36,28,12,1
42,46,34,11,52,50,14,51,52,6,51
43,47,20,35,19,46,16,34,8,21,34
44,19,10,29,26,25,33,48,45,24,35
45,48,50,42,22,18,41,29,50,30,42
46,49,21,51,43,15,17,52,6,19,15
47,20,11,52,18,16,36,8,21,31,39
48,50,35,22,15,41,48,6,24,35,37
49,21,51,43,16,36,29,21,19,42,20
50,51,52,18,36,48,6,24,35,37,32
51,52,22,36,48,6,21,19,42,20,13
52,22,36,6,6,21,13,13,13,13,11
