order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,1,13,48,48,48,48,48,45,52,9
2,28,1,13,13,51,49,1,43,45,52
3,2,28,1,40,13,20,35,48,43,50
4,3,45,35,47,26,41,46,1,42,45
5,29,2,28,1,40,44,49,40,48,41
6,4,3,45,35,15,51,23,12,1,14
7,30,14,20,50,47,33,20,35,40,37
8,31,15,2,28,29,2,50,46,2,43
9,5,29,3,9,19,24,41,34,12,15
10,32,16,7,45,1,13,37,49,35,3
11,33,4,36,17,35,3,44,7,10,38
12,6,46,21,20,50,38,21,23,46,42
13,34,30,8,41,37,26,16,20,24,48
14,35,47,14,2,16,6,30,22,34,44
15,7,17,15,24,28,31,51,50,29,1
16,36,31,29,3,9,40,33,41,49,40
17,8,5,37,31,45,7,18,37,7,2
18,37,18,16,7,43,22,2,15,23,12
19,38,32,4,42,4,15,24,44,13,21
20,39,19,49,10,17,47,13,21,25,47
21,40,33,38,36,11,52,28,47,20,35
22,9,6,22,5,49,42,9,16,22,10
23,41,34,46,21,20,10,3,30,17,11
24,42,48,23,18,41,29,38,32,28,19
25,10,35,30,8,44,19,8,51,9,16
26,43,20,39,32,33,36,26,33,50,8
27,11,7,40,25,2,5,6,4,41,46
28,44,36,47,14,24,1,31,18,14,24
29,12,21,50,51,3,35,45,39,37,34
30,13,8,9,26,38,46,43,52,15,29
31,45,37,17,15,6,23,40,42,3,30
32,14,49,41,29,31,50,12,2,38,32
33,15,38,24,19,7,37,34,10,44,26
34,16,22,31,37,22,21,7,24,21,49
35,46,23,42,16,52,16,22,29,47,7
36,47,39,10,43,42,30,15,13,11,23
37,17,40,5,4,10,18,47,25,19,13
38,18,50,18,11,36,28,32,17,16,36
39,19,9,32,49,5,9,4,28,8,51
40,48,41,25,44,46,8,39,9,30,33
41,20,24,51,33,23,45,52,14,32,25
42,21,42,26,38,21,43,42,3,26,20
43,49,10,19,6,30,12,10,38,36,27
44,22,25,43,22,18,34,29,11,51,6
45,23,51,11,52,8,32,25,19,33,22
46,50,26,44,46,12,4,17,8,27,4
47,24,43,33,23,34,39,14,26,6,18
48,25,11,6,30,32,25,11,36,4,17
49,51,44,52,12,39,17,19,27,18,5
50,26,52,12,34,25,14,36,6,5,39
51,52,12,34,39,14,11,27,5,39,31
52,27,27,27,27,27,27,5,31,31,28
