order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,1,1,44,44,44,20,20,13,13,13
2,26,12,1,28,2,44,25,20,10,14
3,27,37,12,1,28,2,18,41,20,10
4,2,13,37,48,1,32,44,25,11,47
5,3,26,7,12,6,28,35,18,24,37
6,28,27,20,15,48,10,2,31,41,20
7,4,38,13,37,17,1,36,46,39,11
8,29,2,26,4,12,42,32,44,25,24
9,5,14,27,29,22,6,45,35,5,43
10,6,3,21,7,15,13,28,2,18,41
11,30,39,31,33,18,3,27,47,9,39
12,7,28,38,20,45,48,10,43,31,21
13,31,15,2,10,37,51,39,36,17,42
14,8,4,22,13,8,40,9,32,16,25
15,32,29,45,40,4,17,1,38,46,36
16,9,40,8,26,41,12,37,3,12,5
17,33,5,23,34,23,30,21,23,44,32
18,10,16,24,25,29,19,42,45,33,19
19,34,6,14,27,7,22,49,29,30,22
20,11,17,32,21,11,26,6,48,35,26
21,35,18,3,49,24,15,8,28,2,18
22,36,41,39,31,33,34,4,27,1,9
23,12,42,9,38,50,25,13,7,50,38
24,37,30,46,5,14,18,41,51,14,15
25,13,19,47,16,20,35,31,40,47,31
26,38,43,28,2,32,36,46,10,37,17
27,14,44,48,6,10,45,47,11,43,34
28,39,7,15,17,42,27,43,24,21,3
29,15,20,4,22,13,39,38,39,42,16
30,40,21,29,18,3,9,3,5,36,23
31,16,31,33,45,51,37,23,9,32,46
32,17,22,10,8,40,21,29,17,19,12
33,18,45,40,41,30,49,48,16,22,45
34,41,8,34,23,19,8,7,12,26,52
35,42,23,25,11,26,4,51,33,38,44
36,19,24,49,24,34,41,40,30,15,29
37,43,32,5,50,25,31,11,1,34,49
38,44,9,16,14,35,46,24,50,3,48
39,20,46,6,32,36,47,5,14,23,28
40,21,47,17,42,27,43,17,37,45,33
41,22,48,18,3,39,38,16,21,52,30
42,45,33,41,51,9,23,12,42,29,35
43,23,10,11,30,21,29,33,19,49,2
44,24,34,50,19,49,7,30,22,48,27
45,46,25,42,35,31,11,50,26,28,7
46,47,49,51,36,46,24,14,15,27,6
47,48,11,30,39,47,5,19,34,7,8
48,25,50,19,9,43,16,22,52,6,1
49,49,51,35,46,38,33,26,49,8,51
50,50,35,36,47,5,50,15,6,51,40
51,51,36,43,43,16,14,34,8,40,50
52,52,52,52,52,52,52,52,4,4,4
