order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,31,14,37,37,37,37,37,37,37,7
2,32,15,38,45,20,20,20,32,13,37
3,1,16,50,46,21,21,34,45,11,4
4,33,17,51,47,16,50,12,46,40,39
5,2,31,7,18,17,51,6,47,16,13
6,34,32,8,34,31,1,52,20,26,18
7,3,1,39,12,32,33,22,34,32,11
8,4,33,14,42,45,16,21,35,44,19
9,35,2,15,24,46,17,50,8,45,31
10,5,45,16,25,47,9,42,12,17,38
11,6,46,17,3,18,10,24,6,46,40
12,36,47,31,38,40,7,51,52,47,16
13,37,18,32,50,41,4,36,22,20,26
14,38,34,40,51,5,31,1,21,9,50
15,7,3,41,7,34,32,33,39,34,42
16,8,4,52,4,12,45,49,18,35,32
17,39,35,22,35,6,46,16,19,41,44
18,40,19,1,8,52,47,26,38,5,23
19,41,20,33,39,22,35,44,50,8,45
20,9,21,9,19,42,8,17,42,12,17
21,10,5,10,26,24,39,9,24,14,27
22,11,6,11,14,36,18,14,51,48,46
23,12,36,23,27,48,19,48,36,10,47
24,42,48,2,28,25,11,10,15,6,28
25,43,49,45,15,3,40,7,29,52,24
26,44,37,46,29,38,41,4,1,22,20
27,13,38,47,43,50,5,31,33,21,9
28,14,50,18,20,51,23,27,49,7,34
29,15,51,34,21,1,2,28,13,4,51
30,16,7,12,16,33,34,25,11,39,36
31,17,8,42,17,9,12,3,40,18,35
32,45,39,24,31,10,6,32,16,19,41
33,46,40,25,32,7,52,45,26,31,5
34,47,41,3,40,4,22,46,44,38,8
35,18,52,4,41,35,42,47,17,50,12
36,19,22,35,5,8,24,35,9,42,15
37,20,9,19,6,39,36,8,41,23,29
38,21,10,26,52,19,49,39,5,27,1
39,48,11,27,22,11,26,18,14,28,33
40,49,23,28,36,23,44,19,48,24,25
41,50,12,29,48,2,14,38,10,51,14
42,51,42,43,1,49,48,15,7,36,48
43,52,24,20,33,26,27,29,4,15,10
44,22,25,21,9,44,28,13,31,29,2
45,23,26,5,10,14,25,11,23,1,30
46,24,27,6,11,27,3,40,27,33,49
47,25,28,36,23,28,38,41,28,25,6
48,26,29,48,2,15,15,5,25,2,52
49,27,43,49,49,29,29,23,2,30,22
50,28,44,44,44,13,13,2,30,49,3
51,29,13,13,13,30,30,30,3,3,21
52,30,30,30,30,43,43,43,43,43,43
