order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,31,14,20,25,28,47,47,47,29,13
2,32,31,14,26,41,28,28,24,15,29
3,1,32,8,34,43,23,8,28,47,4
4,2,15,38,20,25,32,40,8,1,15
5,3,1,31,14,26,41,23,12,21,26
6,33,2,32,8,34,15,22,44,3,46
7,4,3,15,5,10,21,32,50,48,47
8,34,33,21,35,11,43,5,40,24,1
9,5,16,9,38,44,25,41,23,7,42
10,35,45,39,31,20,16,18,46,35,21
11,6,17,48,46,14,26,15,6,28,6
12,36,4,49,47,29,34,21,22,2,3
13,7,34,40,32,3,9,7,20,8,22
14,37,5,1,15,8,39,35,32,49,48
15,8,35,2,21,22,10,43,36,51,24
16,38,46,41,9,5,11,33,5,43,20
17,9,47,10,39,35,24,25,45,12,32
18,39,6,11,6,33,12,16,19,44,34
19,40,36,3,36,30,44,17,41,33,7
20,41,18,22,48,38,6,30,18,25,37
21,10,19,33,49,31,20,38,14,16,52
22,11,7,23,40,50,36,26,29,17,9
23,12,37,16,18,46,45,42,15,50,39
24,42,20,24,27,51,19,34,1,40,35
25,13,8,12,1,47,14,9,21,23,28
26,43,38,45,2,23,29,39,3,30,36
27,44,21,17,28,32,3,27,48,38,2
28,14,9,42,41,15,48,10,7,13,8
29,15,39,13,43,21,49,31,35,4,27
30,16,48,4,10,16,8,11,2,26,10
31,45,49,25,11,9,40,24,49,46,31
32,17,40,26,44,39,22,12,51,42,49
33,46,41,34,29,24,5,44,43,6,51
34,47,10,5,3,12,18,50,33,22,43
35,18,11,35,22,6,7,46,25,20,5
36,19,22,46,33,36,35,6,16,32,45
37,20,23,47,30,45,33,20,17,34,19
38,21,24,6,50,19,17,36,30,37,41
39,48,12,36,51,48,30,45,38,52,18
40,49,42,18,23,49,38,19,13,9,12
41,22,13,27,16,40,42,14,4,39,44
42,23,25,28,24,18,27,29,26,36,33
43,24,26,43,12,7,31,1,42,27,25
44,25,27,44,45,17,50,3,34,10,14
45,26,28,29,19,42,46,48,37,31,11
46,27,43,30,7,27,1,2,52,5,16
47,28,44,50,17,1,2,49,9,45,17
48,29,29,51,42,2,51,51,39,19,50
49,30,30,19,13,13,13,13,27,41,40
50,50,50,7,4,4,4,4,10,18,23
51,51,51,37,37,37,37,37,31,14,30
52,52,52,52,52,52,52,52,11,11,38
