order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,1,14,43,34,29,16,28,52,52,36
2,25,1,14,43,34,29,16,28,2,52
3,2,25,1,39,45,21,48,16,44,1
4,26,36,25,14,30,51,29,35,28,2
5,27,15,32,49,37,34,21,48,49,5
6,3,2,36,1,43,45,50,11,16,44
7,28,37,20,28,35,30,51,39,35,14
8,4,26,15,9,39,23,5,29,42,28
9,29,38,7,25,14,37,34,31,48,49
10,30,16,44,32,8,20,46,21,11,16
11,5,27,2,40,49,43,45,10,47,6
12,31,17,33,36,1,35,7,50,39,35
13,6,3,45,21,26,11,30,51,24,19
14,32,39,37,20,28,39,9,4,29,42
15,7,28,8,4,50,4,44,13,31,8
16,33,40,26,15,46,14,42,5,23,48
17,8,4,46,41,9,8,23,14,21,25
18,34,41,38,7,25,12,37,8,37,11
19,9,29,47,44,18,15,25,34,10,34
20,10,30,16,10,38,49,18,40,50,47
21,35,18,48,2,32,24,38,46,51,18
22,11,19,27,22,40,1,20,17,4,40
23,12,5,17,33,47,41,27,45,13,46
24,13,42,3,29,36,26,43,7,22,39
25,14,31,34,45,19,28,32,12,36,24
26,36,6,39,30,16,48,52,30,1,17
27,15,43,49,37,21,50,35,9,5,38
28,37,32,28,35,51,5,11,3,14,29
29,38,20,9,8,23,46,39,15,6,31
30,16,7,40,26,20,7,31,2,19,41
31,17,44,21,50,11,9,10,44,8,45
32,39,33,4,46,4,44,4,49,25,23
33,40,45,41,18,12,42,13,42,34,21
34,41,8,10,38,15,25,14,47,18,20
35,18,46,22,47,24,18,8,24,40,7
36,19,47,29,19,41,38,42,23,46,37
37,42,48,30,16,48,27,17,37,17,12
38,43,34,35,51,5,32,12,22,38,10
39,20,49,50,23,7,52,3,36,41,30
40,44,9,18,11,44,31,15,1,45,27
41,45,21,19,12,42,10,2,6,20,50
42,46,10,51,24,27,13,49,19,7,33
43,47,22,23,48,52,40,47,25,12,43
44,48,35,11,5,31,17,24,18,30,51
45,49,50,12,42,10,3,22,38,27,26
46,21,51,24,27,13,2,36,41,33,9
47,22,23,5,52,17,47,1,20,43,3
48,50,11,42,31,3,22,6,27,26,4
49,51,12,52,13,2,36,19,33,9,13
50,23,24,31,17,22,6,41,43,3,15
51,24,52,13,3,6,19,33,26,15,32
52,52,13,6,6,33,33,26,32,32,22
