order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,1,1,8,31,48,12,12,8,8,29
2,29,40,20,24,31,48,33,12,27,41
3,30,29,21,8,24,31,7,51,52,8
4,2,13,1,20,44,40,29,33,42,26
5,3,14,35,50,8,10,48,6,12,27
6,31,30,22,21,26,24,1,9,51,21
7,4,41,40,1,20,18,49,4,10,52
8,32,2,9,16,50,44,31,7,11,17
9,5,3,29,35,30,43,15,29,33,42
10,33,15,13,4,21,8,40,26,23,12
11,6,42,47,22,33,6,27,47,30,47
12,7,31,14,25,1,9,10,48,6,51
13,34,16,48,40,27,26,11,1,9,48
14,8,4,30,43,16,2,16,2,39,10
15,35,43,41,9,41,3,24,49,45,28
16,9,32,23,37,35,20,13,3,16,46
17,10,5,10,29,51,50,41,20,24,18
18,36,44,2,11,4,37,46,31,4,11
19,37,33,3,13,23,30,18,14,5,33
20,11,17,36,32,22,39,34,15,38,1
21,38,18,49,47,17,45,44,40,7,23
22,12,6,15,14,25,21,35,50,22,2
23,39,45,42,5,12,36,43,37,13,49
24,40,7,31,38,40,33,32,27,29,30
25,13,46,24,48,10,7,8,52,41,36
26,14,34,50,44,18,29,51,42,26,6
27,41,19,16,26,43,1,6,10,21,9
28,15,8,4,30,6,49,9,11,17,25
29,42,20,25,33,9,15,4,23,47,3
30,16,21,43,27,2,27,26,30,48,39
31,43,35,37,41,3,11,47,39,28,20
32,44,22,11,51,37,16,2,45,46,34
33,17,9,32,23,39,13,3,16,18,45
34,18,47,5,17,45,41,20,24,1,44
35,45,48,38,12,36,46,14,5,2,16
36,46,23,44,10,7,34,50,38,49,31
37,19,10,26,18,29,35,37,22,36,14
38,20,36,33,6,49,32,52,13,25,24
39,21,49,27,2,15,51,42,41,3,35
40,22,24,51,3,11,4,23,21,20,4
41,47,50,17,39,13,47,30,17,34,5
42,48,25,12,45,46,14,39,28,44,43
43,23,37,18,36,34,52,45,46,31,38
44,49,11,6,7,32,42,5,18,14,7
45,24,38,39,49,47,23,38,36,35,15
46,50,26,45,15,14,5,22,25,43,22
47,25,27,7,46,52,38,21,34,15,40
48,26,51,46,34,42,22,17,44,40,32
49,27,12,34,52,5,17,28,35,32,50
50,51,39,52,42,38,28,36,43,50,19
51,52,52,28,28,28,25,25,32,19,13
52,28,28,19,19,19,19,19,19,37,37
