order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,27,35,35,35,21,21,39,25,8,42
2,1,36,36,36,30,12,21,39,25,8
3,2,27,42,48,35,30,17,16,39,19
4,28,15,7,42,19,8,12,21,2,25
5,29,37,27,39,36,35,32,17,16,40
6,3,1,8,40,16,19,30,48,21,39
7,4,16,15,7,48,29,40,12,20,34
8,5,38,43,24,38,36,18,31,27,2
9,30,2,37,11,42,41,8,32,9,16
10,6,28,32,27,34,16,2,28,17,29
11,31,29,1,12,45,48,9,30,48,21
12,7,17,44,8,39,15,35,1,33,15
13,8,18,21,41,40,46,50,40,12,20
14,32,3,16,15,2,38,14,15,37,46
15,9,4,38,43,9,10,19,46,31,27
16,10,39,45,37,7,43,29,38,35,38
17,33,40,2,49,24,37,7,22,32,22
18,11,41,9,5,25,42,36,18,50,7
19,12,5,28,32,28,34,24,3,44,9
20,34,30,22,50,22,52,41,11,28,17
21,13,19,29,1,11,49,47,10,14,52
22,14,6,46,44,27,45,25,43,30,36
23,35,31,10,51,6,5,16,8,1,18
24,36,20,17,21,13,39,48,2,6,48
25,15,42,18,30,12,17,31,20,42,33
26,37,7,47,19,8,32,28,27,19,3
27,16,8,3,16,29,40,1,9,40,11
28,38,43,33,38,41,18,15,33,34,49
29,17,32,23,34,15,2,46,37,29,24
30,18,44,4,45,46,9,38,35,15,12
31,39,21,48,2,10,50,22,50,46,37
32,40,45,39,9,43,14,3,44,38,13
33,41,9,40,25,37,7,11,14,22,31
34,19,22,24,28,52,24,10,6,7,23
35,20,46,11,22,49,47,43,42,52,35
36,42,10,12,6,5,25,20,19,36,32
37,43,47,41,13,17,31,27,34,18,26
38,44,33,49,29,32,28,33,29,3,50
39,21,23,5,46,18,1,37,7,11,44
40,45,48,50,10,50,22,44,52,49,10
41,22,24,51,52,14,3,6,36,24,41
42,46,11,30,17,47,11,42,49,13,28
43,47,12,19,18,31,20,34,24,23,14
44,23,49,34,14,1,27,52,13,26,45
45,48,50,25,47,3,33,49,23,10,51
46,24,51,6,31,20,44,13,26,41,4
47,49,34,13,3,33,6,23,41,45,47
48,50,25,52,20,44,13,26,45,51,30
49,51,13,14,33,23,23,45,51,4,1
50,25,52,31,23,26,26,51,4,47,43
51,52,14,20,26,51,51,4,47,43,6
52,26,26,26,4,4,4,5,5,5,5
