order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,1,12,44,29,39,14,24,24,24,40
2,27,1,12,16,29,39,25,49,23,32
3,2,13,18,44,31,29,14,25,2,34
4,28,14,1,12,16,31,39,36,49,24
5,3,15,19,18,10,34,29,3,37,9
6,29,27,13,23,44,4,18,14,25,23
7,4,39,6,1,2,17,31,48,21,43
8,30,2,14,19,21,52,40,39,36,12
9,31,40,20,49,12,20,32,29,33,4
10,5,28,15,13,11,16,34,50,3,2
11,32,41,45,6,18,10,4,18,16,26
12,33,3,7,14,40,15,26,31,14,47
13,6,29,27,4,23,45,17,8,48,49
14,7,16,46,17,1,44,52,40,28,13
15,34,4,39,20,19,8,30,32,39,37
16,35,17,2,15,49,9,20,34,29,25
17,8,30,21,45,36,47,23,9,38,7
18,9,31,40,8,50,2,16,4,41,46
19,10,42,28,9,13,37,22,26,50,21
20,11,5,34,24,42,21,10,47,18,36
21,36,43,47,25,5,38,1,13,22,6
22,37,32,41,30,28,41,15,7,10,51
23,38,33,22,7,6,43,45,17,1,33
24,12,44,3,27,51,12,19,52,31,3
25,13,18,48,46,14,11,44,27,8,17
26,14,19,35,39,34,24,49,42,40,52
27,15,6,29,31,4,25,36,30,32,16
28,39,20,16,10,17,18,3,5,34,15
29,40,45,23,2,52,40,48,35,9,27
30,41,7,49,21,20,32,50,20,43,14
31,16,46,4,11,15,26,8,23,12,48
32,17,21,17,40,45,30,9,2,4,28
33,42,34,8,36,8,23,47,37,26,42
34,43,47,9,50,9,22,13,21,47,30
35,44,22,24,42,47,1,7,33,13,39
36,18,48,25,5,37,19,27,16,7,29
37,19,35,30,28,38,49,42,28,46,45
38,20,23,31,51,41,36,5,38,6,19
39,45,49,10,34,13,3,35,41,51,38
40,46,8,11,52,24,48,2,22,17,41
41,21,9,36,47,25,50,37,10,52,50
42,47,24,50,37,32,13,21,1,15,5
43,22,25,42,38,26,7,33,43,27,18
44,48,10,5,41,30,27,28,12,42,44
45,23,11,51,43,22,42,38,46,30,35
46,49,36,52,32,3,5,41,6,45,11
47,24,50,37,36,48,35,43,51,19,22
48,25,51,38,22,7,33,12,15,5,10
49,50,52,43,3,27,28,46,45,44,20
50,51,37,32,48,35,46,6,19,35,1
51,52,38,26,35,33,6,51,44,11,31
52,26,26,33,33,46,51,11,11,20,8
