order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,1,1,1,1,40,10,10,10,19,6
2,2,35,9,17,31,40,30,15,26,10
3,3,2,35,9,1,6,40,30,51,15
4,4,36,29,46,7,31,8,4,20,21
5,24,3,2,35,17,51,6,28,27,30
6,25,15,21,29,9,19,23,40,45,38
7,5,4,36,23,49,1,31,33,49,4
8,6,24,10,2,4,7,27,8,9,28
9,26,16,11,21,46,38,51,46,18,11
10,7,37,3,5,50,11,19,13,29,47
11,8,38,30,36,14,22,2,50,16,37
12,27,25,15,10,35,17,12,14,48,44
13,28,17,44,6,24,9,1,3,42,2
14,9,5,45,11,16,49,7,32,24,12
15,29,6,31,13,29,20,41,6,35,34
16,10,26,4,3,8,4,21,23,39,23
17,11,39,24,34,23,28,38,31,52,40
18,30,18,16,30,27,46,11,5,17,33
19,31,40,37,26,2,13,37,43,22,31
20,32,7,32,15,41,50,22,39,43,5
21,12,8,38,39,21,14,17,35,5,43
22,33,27,22,18,37,3,52,24,31,22
23,13,41,25,44,32,35,42,16,23,25
24,34,19,12,47,5,24,9,29,37,17
25,14,20,33,48,36,16,49,18,47,52
26,35,28,17,45,10,29,20,27,11,39
27,36,42,46,40,6,34,26,51,38,35
28,15,43,23,31,51,25,15,19,21,24
29,16,9,5,7,19,30,4,44,6,1
30,37,29,6,49,38,8,28,2,32,42
31,38,21,13,4,11,23,33,12,3,48
32,17,10,34,50,22,27,46,34,14,16
33,39,11,26,14,20,2,13,25,41,8
34,18,30,39,24,28,12,50,1,36,29
35,40,44,18,16,13,41,14,7,7,18
36,41,45,47,8,3,21,3,36,50,46
37,19,31,48,27,34,37,32,41,13,13
38,20,32,40,41,25,52,5,21,46,9
39,42,22,7,37,30,42,43,38,8,49
40,43,12,49,32,12,26,39,11,1,45
41,21,33,50,51,52,15,35,47,25,27
42,44,46,14,19,42,33,24,37,33,20
43,45,23,8,38,26,32,16,22,40,51
44,22,13,27,22,15,5,29,17,34,50
45,46,34,41,20,33,43,18,52,12,7
46,23,47,51,28,43,39,44,42,2,36
47,47,48,19,25,39,18,34,48,44,41
48,48,49,20,12,18,44,25,9,28,14
49,49,50,28,52,44,36,36,49,4,3
50,50,14,52,42,47,47,47,45,30,32
51,51,51,42,33,48,48,48,20,15,26
52,52,52,43,43,45,45,45,26,10,19
