order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,1,1,1,47,4,20,26,9,9,48
2,25,12,46,1,47,4,20,26,37,9
3,26,25,12,48,36,47,41,3,26,37
4,2,39,25,13,1,2,4,20,1,18
5,27,26,6,46,39,36,45,40,3,26
6,28,40,18,28,29,12,47,41,20,1
7,3,2,31,8,48,1,2,10,39,2
8,4,41,39,12,10,39,15,4,25,3
9,29,42,19,49,19,49,36,11,40,8
10,5,27,26,35,13,29,6,45,41,20
11,30,13,7,9,43,35,12,47,7,39
12,6,28,40,25,44,48,46,22,10,30
13,31,14,32,14,26,17,1,24,50,15
14,7,15,20,15,46,9,39,2,51,25
15,32,3,2,6,7,10,7,30,4,40
16,33,16,21,3,40,11,49,15,11,34
17,34,4,41,22,28,24,29,36,45,17
18,8,29,33,23,5,19,35,19,49,14
19,35,43,34,18,37,13,33,28,29,41
20,9,44,42,31,50,25,48,6,47,7
21,36,5,27,16,51,43,34,5,35,36
22,10,17,47,4,8,14,17,12,33,10
23,37,45,48,36,32,21,42,46,22,19
24,11,30,13,39,20,44,9,13,43,52
25,38,46,28,29,2,26,3,37,23,38
26,12,6,8,10,12,41,40,1,24,50
27,39,18,49,19,49,45,10,39,48,51
28,40,31,35,43,35,15,11,25,18,28
29,41,19,9,44,17,6,22,7,2,4
30,42,7,14,26,9,46,24,50,8,6
31,13,32,15,7,11,7,30,51,30,21
32,14,20,3,40,24,33,19,49,15,11
33,15,21,22,5,25,34,28,29,34,31
34,16,33,23,37,14,42,5,35,17,45
35,43,34,16,50,21,3,13,33,14,49
36,44,47,4,51,41,40,37,43,36,5
37,17,48,36,32,45,22,25,23,19,27
38,45,8,29,20,15,30,50,48,52,29
39,46,49,10,2,6,28,51,18,38,44
40,18,35,43,17,33,5,43,8,28,47
41,19,9,44,11,34,37,23,34,6,35
42,20,22,5,24,42,50,18,17,21,12
43,21,23,37,21,3,51,8,14,31,42
44,47,36,50,41,22,23,14,52,5,33
45,48,10,51,45,30,18,52,38,27,46
46,49,37,17,33,23,8,38,21,44,22
47,22,50,11,34,18,52,21,31,12,32
48,23,51,24,42,52,38,31,27,42,43
49,50,11,45,30,38,31,27,44,46,13
50,51,24,30,52,31,27,44,42,32,16
51,24,52,52,38,27,32,32,32,13,23
52,52,38,38,27,16,16,16,16,16,24
