order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,1,39,39,39,39,39,28,18,18,18
2,23,1,1,16,11,36,39,28,47,8
3,24,23,46,1,34,42,17,21,7,36
4,2,40,47,21,16,11,4,39,28,1
5,3,24,23,46,1,34,3,2,21,47
6,25,2,7,47,26,16,20,32,52,7
7,26,14,40,51,21,24,36,17,39,42
8,27,3,48,23,31,1,42,29,34,43
9,28,41,8,4,46,12,35,31,2,28
10,4,25,24,7,47,26,11,4,32,25
11,29,26,2,40,38,18,7,14,38,21
12,30,15,14,29,51,21,34,3,48,45
13,31,42,3,48,23,2,16,20,33,52
14,5,27,20,8,44,31,49,46,16,40
15,32,28,41,36,4,14,24,9,17,39
16,33,16,25,24,35,46,5,36,29,34
17,6,4,34,2,7,9,1,42,31,2
18,7,29,26,14,49,19,40,15,4,15
19,8,17,35,17,5,47,37,50,49,13
20,34,30,49,3,40,52,12,35,14,32
21,35,43,15,20,32,38,26,11,3,37
22,9,31,50,37,29,33,30,19,6,38
23,10,44,42,30,15,27,41,47,24,48
24,36,5,9,41,50,10,18,7,27,33
25,37,32,27,43,48,13,21,52,20,16
26,11,45,10,25,22,51,2,31,10,17
27,38,18,28,11,8,23,32,38,22,50
28,12,19,16,34,45,44,29,48,46,29
29,13,33,21,26,36,28,31,33,5,12
30,39,6,51,31,42,17,14,16,9,31
31,40,46,4,38,24,4,46,49,8,4
32,14,47,29,44,12,3,9,6,36,49
33,41,7,36,35,18,20,15,24,1,26
34,15,48,17,49,2,35,50,27,42,14
35,42,8,37,5,14,7,19,10,43,3
36,16,20,30,32,9,49,47,22,25,35
37,17,34,43,15,19,5,52,5,45,51
38,3,35,11,50,52,40,38,8,40,23
39,44,49,31,22,33,37,48,1,15,6
40,45,50,38,45,27,30,33,43,13,24
41,18,9,44,42,10,41,6,25,37,27
42,19,10,5,12,13,32,27,45,50,20
43,46,21,32,18,28,29,10,40,12,10
44,47,51,22,9,17,15,22,13,26,30
45,48,36,45,19,3,50,8,37,35,11
46,20,37,12,52,20,48,43,12,51,44
47,49,11,18,33,37,6,25,26,23,22
48,50,38,19,27,30,22,45,51,30,19
49,21,22,52,10,41,8,13,23,11,46
50,51,12,33,13,6,43,51,30,44,5
51,22,52,13,28,43,25,23,44,19,9
52,52,13,6,6,25,45,44,41,41,41
